"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_TSOL1","PUBLISHED","2018","EMR","AFG","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","ALB","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","DZA","Possible transmission in some communities","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","AND","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","AGO","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","ATG","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","ARG","Possible transmission in some communities","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","ARM","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","WPR","AUS","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","AUT","Few pigs with risk factors","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","AZE","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","BHS","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","EMR","BHR","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","SEAR","BGD","Suspected endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","BRB","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","BLR","Few pigs with risk factors","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","BEL","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","BLZ","Suspected endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","BEN","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","SEAR","BTN","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","BOL","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","BIH","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","BWA","Possible transmission in some communities","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","BRA","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","WPR","BRN","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","BGR","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","BFA","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","BDI","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","WPR","KHM","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","CMR","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","CAN","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","CPV","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","CAF","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","TCD","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","CHL","Possible transmission in some communities","","","",""
"NTD_TSOL1","PUBLISHED","2018","WPR","CHN","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","COL","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","COM","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","COG","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","WPR","COK","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","CRI","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","CIV","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","HRV","Few pigs with risk factors","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","CUB","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","CYP","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","CZE","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","SEAR","PRK","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","COD","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","DNK","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EMR","DJI","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","DMA","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","DOM","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","ECU","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EMR","EGY","Possible transmission in some communities","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","SLV","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","GNQ","Suspected endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","ERI","Possible transmission in some communities","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","EST","Few pigs with risk factors","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","ETH","Possible transmission in some communities","","","",""
"NTD_TSOL1","PUBLISHED","2018","WPR","FJI","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","FIN","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","FRA","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","GAB","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","GMB","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","GEO","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","DEU","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","GHA","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","GRC","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","GRD","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","GTM","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","GIN","Suspected endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","GNB","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","GUY","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","HTI","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","HND","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","HUN","Few pigs with risk factors","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","ISL","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","SEAR","IND","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","SEAR","IDN","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EMR","IRN","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EMR","IRQ","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","IRL","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","ISR","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","ITA","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","AMR","JAM","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","WPR","JPN","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EMR","JOR","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","KAZ","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","AFR","KEN","Endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","WPR","KIR","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","EMR","KWT","Non-endemic","","","",""
"NTD_TSOL1","PUBLISHED","2018","EUR","KGZ","No data","","","",""
"NTD_TSOL1","PUBLISHED","2018","WPR","LAO","Endemic","","","",""
