"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_TSOL2","PUBLISHED","2017","EMR","AFG","No data","","","",""
"NTD_TSOL2","PUBLISHED","2017","EUR","ALB","Inconsistent information","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","DZA","No data","","","",""
"NTD_TSOL2","PUBLISHED","2017","EUR","AND","Absent","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","AGO","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AMR","ATG","No data","","","",""
"NTD_TSOL2","PUBLISHED","2017","AMR","ARG","Inconsistent information","","","",""
"NTD_TSOL2","PUBLISHED","2017","EUR","ARM","Inconsistent information","","","",""
"NTD_TSOL2","PUBLISHED","2017","WPR","AUS","Absent","","","",""
"NTD_TSOL2","PUBLISHED","2017","EUR","AUT","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","EUR","AZE","No data","","","",""
"NTD_TSOL2","PUBLISHED","2017","AMR","BHS","No data","","","",""
"NTD_TSOL2","PUBLISHED","2017","EMR","BHR","Absent","","","",""
"NTD_TSOL2","PUBLISHED","2017","SEAR","BGD","Inconsistent information","","","",""
"NTD_TSOL2","PUBLISHED","2017","AMR","BRB","No data","","","",""
"NTD_TSOL2","PUBLISHED","2017","EUR","BLR","Inconsistent information","","","",""
"NTD_TSOL2","PUBLISHED","2017","EUR","BEL","Absent","","","",""
"NTD_TSOL2","PUBLISHED","2017","AMR","BLZ","Inconsistent information","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","BEN","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","SEAR","BTN","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AMR","BOL","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","EUR","BIH","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","BWA","No data","","","",""
"NTD_TSOL2","PUBLISHED","2017","AMR","BRA","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","WPR","BRN","No data","","","",""
"NTD_TSOL2","PUBLISHED","2017","EUR","BGR","Absent","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","BFA","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","BDI","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","WPR","KHM","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","CMR","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AMR","CAN","Absent","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","CPV","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","CAF","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","TCD","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AMR","CHL","Inconsistent information","","","",""
"NTD_TSOL2","PUBLISHED","2017","WPR","CHN","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AMR","COL","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","COM","No data","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","COG","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","WPR","COK","No data","","","",""
"NTD_TSOL2","PUBLISHED","2017","AMR","CRI","Present","","","",""
"NTD_TSOL2","PUBLISHED","2017","AFR","CIV","Present","","","",""
