"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_YAWSEND","PUBLISHED","2018","AFR","TGO","Currently endemic","","","",""
"NTD_YAWSEND","PUBLISHED","2018","WPR","VUT","Currently endemic","","","",""
"NTD_YAWSEND","PUBLISHED","2018","SEAR","IND","Interrupted transmission","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EMR","AFG","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","AMR","BOL","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","BIH","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","AFR","BWA","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","WPR","BRN","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","AFR","SWZ","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","FIN","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","FRA","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","GEO","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","KGZ","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","LVA","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EMR","LBN","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","AFR","LSO","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","AFR","NAM","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","SEAR","NPL","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","NLD","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","WPR","NZL","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","WPR","NIU","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","SMR","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","AFR","STP","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EMR","SAU","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","SRB","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","TUR","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","TKM","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EUR","UKR","No previous history of yaws","","","",""
"NTD_YAWSEND","PUBLISHED","2018","EMR","ARE","No previous history of yaws","","","",""
