"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","BFA","0","0.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","CUB","0","0.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","ECU","0","0.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","GNB","0","0.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","SEAR","IND","0","0.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","LBR","0","0.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","SEN","0","0.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","WPR","SLB","0","0.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","SUR","0","0.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","SEAR","TLS","1","1.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","WPR","PHL","14","14.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","CIV","15","15.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","GHA","26","26.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","CMR","53","53.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","WPR","VUT","104","104.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","SEAR","IDN","1218","1218.00000","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","AGO","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","ATG","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","WPR","AUS","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","BHS","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","BRB","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","BLZ","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","BEN","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","BRA","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","BDI","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","CPV","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","WPR","KHM","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","CAF","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","TCD","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","COL","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","COM","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","COG","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","WPR","COK","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","CRI","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","COD","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","DMA","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","DOM","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AMR","SLV","No data","","","",""
"NTD_YAWSNUM_CONF","PUBLISHED","2017","AFR","GNQ","No data","","","",""
