"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NUTRITION_2005","PUBLISHED","2015-2016","EMR","AFG","15.5","15.50000","","","DHS 2015-16"
"NUTRITION_2005","PUBLISHED","2015-2016","AFR","AGO","13.3","13.30000","","","DHS 2015-16"
"NUTRITION_2005","PUBLISHED","2010","EUR","ARM","31.7","31.70000","","","DHS 2010"
"NUTRITION_2005","PUBLISHED","2015-2016","EUR","ARM","24.5","24.50000","","","DHS 2015-16"
"NUTRITION_2005","PUBLISHED","2010-2011","AFR","BDI","8.8","8.80000","","","DHS 2010-11"
"NUTRITION_2005","PUBLISHED","2016-2017","AFR","BDI","10.2","10.20000","","","DHS 2016-17"
"NUTRITION_2005","PUBLISHED","2011-2012","AFR","BEN","15.8","15.80000","","","DHS 2011-12"
"NUTRITION_2005","PUBLISHED","2014","AFR","BEN","13.5","13.50000","","","MICS 2014"
"NUTRITION_2005","PUBLISHED","2010","AFR","BFA","3.1","3.10000","","","DHS 2010"
"NUTRITION_2005","PUBLISHED","2011","SEAR","BGD","20.9","20.90000","","","DHS 2011"
"NUTRITION_2005","PUBLISHED","2014","SEAR","BGD","22.8","22.80000","","","DHS 2014"
"NUTRITION_2005","PUBLISHED","2010-2011","AFR","CAF","8.8","8.80000","","","MICS 2010-11"
"NUTRITION_2005","PUBLISHED","2011-2012","AFR","CIV","4.6","4.60000","","","DHS 2011-12"
"NUTRITION_2005","PUBLISHED","2014","AFR","CMR","16.5","16.50000","","","MICS 2014"
"NUTRITION_2005","PUBLISHED","2013-2014","AFR","COD","8.4","8.40000","","","DHS 2013-14"
"NUTRITION_2005","PUBLISHED","2012","AFR","COM","5.9","5.90000","","","DHS 2012"
"NUTRITION_2005","PUBLISHED","2014","AMR","CUB","56","56.00000","","","MICS 2014"
"NUTRITION_2005","PUBLISHED","2013","AMR","DOM","38.4","38.40000","","","DHS 2013"
"NUTRITION_2005","PUBLISHED","2014","AMR","DOM","43","43.00000","","","MICS 2014"
"NUTRITION_2005","PUBLISHED","2014","EMR","EGY","23.3","23.30000","","","DHS 2014"
"NUTRITION_2005","PUBLISHED","2010-2011","AFR","ETH","4.1","4.10000","","","DHS 2010-11"
"NUTRITION_2005","PUBLISHED","2016","AFR","ETH","7.3","7.30000","","","DHS 2016"
"NUTRITION_2005","PUBLISHED","2011","AFR","GHA","24.3","24.30000","","","MICS 2011"
"NUTRITION_2005","PUBLISHED","2014","AFR","GHA","13.3","13.30000","","","DHS 2014"
"NUTRITION_2005","PUBLISHED","2012","AFR","GIN","3.7","3.70000","","","DHS 2012"
"NUTRITION_2005","PUBLISHED","2013","AFR","GMB","8.3","8.30000","","","DHS 2013"
"NUTRITION_2005","PUBLISHED","2014","AFR","GNB","7.8","7.80000","","","MICS 2014"
"NUTRITION_2005","PUBLISHED","2014-2015","AMR","GTM","52.1","52.10000","","","DHS 2014-15"
"NUTRITION_2005","PUBLISHED","2014","AMR","GUY","27.8","27.80000","","","MICS 2014"
"NUTRITION_2005","PUBLISHED","2011-2012","AMR","HND","54.8","54.80000","","","DHS 2011-12"
"NUTRITION_2005","PUBLISHED","2012","AMR","HTI","13.6","13.60000","","","DHS 2012"
"NUTRITION_2005","PUBLISHED","2012","SEAR","IDN","36.6","36.60000","","","DHS 2012"
"NUTRITION_2005","PUBLISHED","2015-2016","SEAR","IND","9.6","9.60000","","","DHS 2015-16"
"NUTRITION_2005","PUBLISHED","2012","EMR","JOR","33.3","33.30000","","","DHS 2012"
"NUTRITION_2005","PUBLISHED","2015","EUR","KAZ","37.9","37.90000","","","MICS 2015"
"NUTRITION_2005","PUBLISHED","2012","EUR","KGZ","16.2","16.20000","","","DHS 2012"
"NUTRITION_2005","PUBLISHED","2014","EUR","KGZ","33","33.00000","","","MICS 2014"
"NUTRITION_2005","PUBLISHED","2010-2011","WPR","KHM","23.9","23.90000","","","DHS 2010-11"
"NUTRITION_2005","PUBLISHED","2014","WPR","KHM","30.4","30.40000","","","DHS 2014"
"NUTRITION_2005","PUBLISHED","2013","AFR","LBR","5.2","5.20000","","","DHS 2013"
"NUTRITION_2005","PUBLISHED","2009","AFR","LSO","8","8.00000","","","DHS 2009"
"NUTRITION_2005","PUBLISHED","2014","AFR","LSO","11.3","11.30000","","","DHS 2014"
"NUTRITION_2005","PUBLISHED","2015","AMR","MEX","48.4","48.40000","","","MICS 2015"
"NUTRITION_2005","PUBLISHED","2009-2010","AFR","MLI","11.3","11.30000","","","MICS 2009-10"
"NUTRITION_2005","PUBLISHED","2015","AFR","MLI","3.4","3.40000","","","MICS 2015"
"NUTRITION_2005","PUBLISHED","2015-2016","SEAR","MMR","15.9","15.90000","","","DHS 2015-16"
"NUTRITION_2005","PUBLISHED","2013","EUR","MNE","60.5","60.50000","","","MICS 2013"
"NUTRITION_2005","PUBLISHED","2013","WPR","MNG","32.6","32.60000","","","MICS 2013"
"NUTRITION_2005","PUBLISHED","2011","AFR","MOZ","13.3","13.30000","","","DHS 2011"
"NUTRITION_2005","PUBLISHED","2015","AFR","MRT","14.3","14.30000","","","MICS 2015"
"NUTRITION_2005","PUBLISHED","2010","AFR","MWI","18.5","18.50000","","","DHS 2010"
"NUTRITION_2005","PUBLISHED","2013-2014","AFR","MWI","14.3","14.30000","","","MICS 2013-14"
"NUTRITION_2005","PUBLISHED","2015-2016","AFR","MWI","8.1","8.10000","","","DHS 2015-16"
"NUTRITION_2005","PUBLISHED","2013","AFR","NAM","12.5","12.50000","","","DHS 2013"
"NUTRITION_2005","PUBLISHED","2012","AFR","NER","5.6","5.60000","","","DHS 2012"
"NUTRITION_2005","PUBLISHED","2013","AFR","NGA","10.2","10.20000","","","DHS 2013"
"NUTRITION_2005","PUBLISHED","2016-2017","AFR","NGA","15.5","15.50000","","","MICS 2016-17"
"NUTRITION_2005","PUBLISHED","2011","SEAR","NPL","24.4","24.40000","","","DHS 2011"
"NUTRITION_2005","PUBLISHED","2014","SEAR","NPL","31.7","31.70000","","","MICS 2014"
"NUTRITION_2005","PUBLISHED","2016-2017","SEAR","NPL","35.8","35.80000","","","DHS 2016-17"
"NUTRITION_2005","PUBLISHED","2012-2013","EMR","PAK","14.8","14.80000","","","DHS 2012-13"
"NUTRITION_2005","PUBLISHED","2016","AMR","PRY","39.7","39.70000","","","MICS 2016"
"NUTRITION_2005","PUBLISHED","2010-2011","AFR","RWA","16.8","16.80000","","","DHS 2010-11"
"NUTRITION_2005","PUBLISHED","2014-2015","AFR","RWA","18.1","18.10000","","","DHS 2014-15"
"NUTRITION_2005","PUBLISHED","2014","EMR","SDN","14.7","14.70000","","","MICS 2014"
"NUTRITION_2005","PUBLISHED","2010-2011","AFR","SEN","10.1","10.10000","","","MICS-DHS 2010-11"
