"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"NUTRITION_564","NLIS_312355","PUBLISHED","2000","WPR","LAO","MLE","18.8","18.80000","","",""
"NUTRITION_564","NLIS_312312","PUBLISHED","2000","WPR","KHM","MLE","18.0","18.00000","","",""
"NUTRITION_564","NLIS_312355","PUBLISHED","2000","WPR","LAO","BTSX","17.5","17.50000","","",""
"NUTRITION_564","NLIS_312312","PUBLISHED","2000","WPR","KHM","BTSX","16.9","16.90000","","",""
"NUTRITION_564","NLIS_312355","PUBLISHED","2000","WPR","LAO","FMLE","16.1","16.10000","","",""
"NUTRITION_564","NLIS_312312","PUBLISHED","2000","WPR","KHM","FMLE","15.8","15.80000","","",""
"NUTRITION_564","NLIS_312086","PUBLISHED","1996","WPR","KHM","MLE","15.5","15.50000","","",""
"NUTRITION_564","NLIS_312549","PUBLISHED","1999","WPR","MYS","BTSX","15.3","15.30000","","",""
"NUTRITION_564","NLIS_313202","PUBLISHED","2009-2011","WPR","PNG","MLE","14.9","14.90000","","",""
"NUTRITION_564","NLIS_313202","PUBLISHED","2009-2011","WPR","PNG","BTSX","14.3","14.30000","","",""
"NUTRITION_564","NLIS_313202","PUBLISHED","2009-2011","WPR","PNG","FMLE","13.7","13.70000","","",""
"NUTRITION_564","NLIS_311443","PUBLISHED","1994","WPR","VNM","BTSX","13.5","13.50000","","",""
"NUTRITION_564","NLIS_312086","PUBLISHED","1996","WPR","KHM","BTSX","13.4","13.40000","","",""
"NUTRITION_564","NLIS_310973","PUBLISHED","1985","WPR","KIR","BTSX","12.6","12.60000","","",""
"NUTRITION_564","NLIS_311249","PUBLISHED","1994","WPR","LAO","BTSX","12.3","12.30000","","",""
"NUTRITION_564","NLIS_312951","PUBLISHED","1999","WPR","VNM","MLE","12.0","12.00000","","",""
"NUTRITION_564","NLIS_312951","PUBLISHED","2004","WPR","VNM","MLE","11.9","11.90000","","",""
