"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTSTUNTINGPREV","PUBLISHED","1990","AFR","","","","47.8 [42.9-52.9]","47.80000","42.90000","52.90000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","SEAR","","","","59.7 [55.6-63.8]","59.70000","55.60000","63.80000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","WPR","","","","35.2 [31.0-39.5]","35.20000","31.00000","39.50000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","AMR","","","","14.7 [6.9-28.5]","14.70000","6.90000","28.50000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","EMR","","","","40.0 [31.3-49.5]","40.00000","31.30000","49.50000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","WPR","","","","27.4 [23.8-31.3]","27.40000","23.80000","31.30000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","AMR","","","","12.8 [6.3-24.2]","12.80000","6.30000","24.20000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","AFR","","","","45.1 [40.7-49.5]","45.10000","40.70000","49.50000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","SEAR","","","","54.7 [50.8-58.5]","54.70000","50.80000","58.50000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","EMR","","","","37.0 [28.1-46.9]","37.00000","28.10000","46.90000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","AMR","","","","11.1 [5.7-20.5]","11.10000","5.70000","20.50000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","WPR","","","","20.8 [16.9-25.2]","20.80000","16.90000","25.20000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","EMR","","","","34.1 [25.1-44.5]","34.10000","25.10000","44.50000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","AFR","","","","42.3 [38.6-46.2]","42.30000","38.60000","46.20000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","SEAR","","","","49.6 [45.8-53.3]","49.60000","45.80000","53.30000",""
"NUTSTUNTINGPREV","PUBLISHED","2005","EMR","","","","31.3 [22.3-42.0]","31.30000","22.30000","42.00000",""
"NUTSTUNTINGPREV","PUBLISHED","2005","SEAR","","","","44.4 [40.7-48.2]","44.40000","40.70000","48.20000",""
"NUTSTUNTINGPREV","PUBLISHED","2005","AFR","","","","39.6 [36.4-43.0]","39.60000","36.40000","43.00000",""
"NUTSTUNTINGPREV","PUBLISHED","2005","WPR","","","","15.4 [11.5-20.4]","15.40000","11.50000","20.40000",""
"NUTSTUNTINGPREV","PUBLISHED","2005","AMR","","","","9.6 [5.2-17.2]","9.60000","5.20000","17.20000",""
"NUTSTUNTINGPREV","PUBLISHED","2010","AFR","","","","37.0 [34.1-40.0]","37.00000","34.10000","40.00000",""
"NUTSTUNTINGPREV","PUBLISHED","2010","AMR","","","","8.3 [4.6-14.4]","8.30000","4.60000","14.40000",""
"NUTSTUNTINGPREV","PUBLISHED","2010","WPR","","","","11.3 [7.6-16.5]","11.30000","7.60000","16.50000",""
"NUTSTUNTINGPREV","PUBLISHED","2010","EMR","","","","28.6 [19.7-39.7]","28.60000","19.70000","39.70000",""
"NUTSTUNTINGPREV","PUBLISHED","2010","SEAR","","","","39.4 [35.6-43.4]","39.40000","35.60000","43.40000",""
"NUTSTUNTINGPREV","PUBLISHED","2012","WPR","","","","9.9 [6.3-15.1]","9.90000","6.30000","15.10000",""
"NUTSTUNTINGPREV","PUBLISHED","2012","SEAR","","","","37.5 [33.6-41.5]","37.50000","33.60000","41.50000",""
"NUTSTUNTINGPREV","PUBLISHED","2012","EMR","","","","27.6 [18.7-38.7]","27.60000","18.70000","38.70000",""
"NUTSTUNTINGPREV","PUBLISHED","2012","AMR","","","","7.8 [4.5-13.4]","7.80000","4.50000","13.40000",""
"NUTSTUNTINGPREV","PUBLISHED","2012","AFR","","","","36.0 [33.1-38.9]","36.00000","33.10000","38.90000",""
"NUTSTUNTINGPREV","PUBLISHED","2015","EMR","","","","26.1 [17.3-37.3]","26.10000","17.30000","37.30000",""
"NUTSTUNTINGPREV","PUBLISHED","2015","AMR","","","","7.1 [4.2-12.0]","7.10000","4.20000","12.00000",""
