"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_NORTHERNAMR","0.2","0.20000","","","regional average is based only on United States data, hence confidence intervals are not provided"
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_WESTERNAFR","8.7 [7.4-10.1]","8.70000","7.40000","10.10000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_SOUTHERNAFR","1.0 [0.8-1.2]","1.00000","0.80000","1.20000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_CENTRALAMR","1.7 [1.0-2.7]","1.70000","1.00000","2.70000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_CENTRALASIASOUTHERNASIA","87.1 [75.5-98.6]","87.10000","75.50000","98.60000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_SOUTHAMR","2.2 [1.5-3.3]","2.20000","1.50000","3.30000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_SOUTHASIA","86.0 [74.5-97.5]","86.00000","74.50000","97.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_WESTERNASIA","2.9 [2.2-3.9]","2.90000","2.20000","3.90000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_LDC","38.3 [30.6-46.4]","38.30000","30.60000","46.40000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_SOUTHEASTERNASIA","17.5 [15.2-20.0]","17.50000","15.20000","20.00000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_EASTERNAFR","10.4 [8.5-12.5]","10.40000","8.50000","12.50000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_CARIBBEAN","0.3 [0.2-0.6]","0.30000","0.20000","0.60000",""
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","38.0 [35.0-40.9]","38.00000","35.00000","40.90000","excluding Japan"
"NUTUNDERWEIGHTNUM","PUBLISHED","1990","","","","UNSDG_LAC","4.2 [3.0-5.4]","4.20000","3.00000","5.40000",""
