"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTWASTINGPREV","PUBLISHED","2019","AFR","","","","6.4 [5.2-7.8]","6.40000","5.20000","7.80000",""
"NUTWASTINGPREV","PUBLISHED","2019","EMR","","","","7.5 [5.9-9.4]","7.50000","5.90000","9.40000",""
"NUTWASTINGPREV","PUBLISHED","2019","SEAR","","","","14.7 [11.3-18.9]","14.70000","11.30000","18.90000",""
"NUTWASTINGPREV","PUBLISHED","2019","AMR","","","","0.8 [0.5-1.4]","0.80000","0.50000","1.40000",""
"NUTWASTINGPREV","PUBLISHED","2019","WPR","","","","2.1 [1.4-3.2]","2.10000","1.40000","3.20000",""
"NUTWASTINGPREV","PUBLISHED","2019","","14","","","5.3 [3.8-7.4]","5.30000","3.80000","7.40000",""
"NUTWASTINGPREV","PUBLISHED","2019","","145","","","3.7 [1.5-8.7]","3.70000","1.50000","8.70000",""
"NUTWASTINGPREV","PUBLISHED","2019","","143","","","2.4 [1.6-3.6]","2.40000","1.60000","3.60000",""
"NUTWASTINGPREV","PUBLISHED","2019","","30","","","1.7 [1.6-1.8]","1.70000","1.60000","1.80000","excluding Japan"
"NUTWASTINGPREV","PUBLISHED","2019","","11","","","7.5 [6.5-8.6]","7.50000","6.50000","8.60000",""
"NUTWASTINGPREV","PUBLISHED","2019","","142","","","9.1 [6.9-11.3]","9.10000","6.90000","11.30000","excluding Japan"
"NUTWASTINGPREV","PUBLISHED","2019","","29","","","2.9 [2.1-4.0]","2.90000","2.10000","4.00000",""
"NUTWASTINGPREV","PUBLISHED","2019","","35","","","8.2 [5.9-11.4]","8.20000","5.90000","11.40000",""
"NUTWASTINGPREV","PUBLISHED","2019","","419","","","1.3 [0.8-1.7]","1.30000","0.80000","1.70000",""
"NUTWASTINGPREV","PUBLISHED","2019","","2","","","6.4 [5.4-7.5]","6.40000","5.40000","7.50000",""
"NUTWASTINGPREV","PUBLISHED","2019","","18","","","3.3 [2.2-4.8]","3.30000","2.20000","4.80000",""
