"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"ODA_4","PUBLISHED","2000","EMR","WB_LMI","MAR","10.12","10.12000","","",""
"ODA_4","PUBLISHED","2001","EMR","WB_LMI","MAR","14.62","14.62000","","",""
"ODA_4","PUBLISHED","2002","EMR","WB_LMI","MAR","19.92","19.92000","","",""
"ODA_4","PUBLISHED","2003","EMR","WB_LMI","MAR","34.37","34.37000","","",""
"ODA_4","PUBLISHED","2004","EMR","WB_LMI","MAR","27.13","27.13000","","",""
"ODA_4","PUBLISHED","2005","EMR","WB_LMI","MAR","38.11","38.11000","","",""
"ODA_4","PUBLISHED","2006","EMR","WB_LMI","MAR","61.60","61.60000","","",""
"ODA_4","PUBLISHED","2007","EMR","WB_LMI","MAR","42.37","42.37000","","",""
"ODA_4","PUBLISHED","2008","EMR","WB_LMI","MAR","44.85","44.85000","","",""
"ODA_4","PUBLISHED","2009","EMR","WB_LMI","MAR","75.43","75.43000","","",""
"ODA_4","PUBLISHED","2010","EMR","WB_LMI","MAR","73.36","73.36000","","",""
"ODA_4","PUBLISHED","2000","EMR","WB_LI","AFG","6.00","6.00000","","",""
"ODA_4","PUBLISHED","2001","EMR","WB_LI","AFG","10.70","10.70000","","",""
"ODA_4","PUBLISHED","2002","EMR","WB_LI","AFG","31.39","31.39000","","",""
"ODA_4","PUBLISHED","2003","EMR","WB_LI","AFG","53.32","53.32000","","",""
"ODA_4","PUBLISHED","2004","EMR","WB_LI","AFG","99.62","99.62000","","",""
"ODA_4","PUBLISHED","2005","EMR","WB_LI","AFG","160.79","160.79000","","",""
"ODA_4","PUBLISHED","2006","EMR","WB_LI","AFG","186.74","186.74000","","",""
"ODA_4","PUBLISHED","2007","EMR","WB_LI","AFG","254.40","254.40000","","",""
"ODA_4","PUBLISHED","2008","EMR","WB_LI","AFG","254.46","254.46000","","",""
"ODA_4","PUBLISHED","2009","EMR","WB_LI","AFG","345.59","345.59000","","",""
"ODA_4","PUBLISHED","2010","EMR","WB_LI","AFG","300.09","300.09000","","",""
"ODA_4","PUBLISHED","2000","AFR","WB_LMI","AGO","20.78","20.78000","","",""
"ODA_4","PUBLISHED","2001","AFR","WB_LMI","AGO","36.78","36.78000","","",""
"ODA_4","PUBLISHED","2002","AFR","WB_LMI","AGO","42.82","42.82000","","",""
"ODA_4","PUBLISHED","2003","AFR","WB_LMI","AGO","52.84","52.84000","","",""
"ODA_4","PUBLISHED","2004","AFR","WB_LMI","AGO","54.17","54.17000","","",""
