"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"O_NRT_EML","PUBLISHED","2007","EMR","AFG","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2008","EMR","AFG","No","","","",""
"O_NRT_EML","PUBLISHED","2010","EMR","AFG","No","","","",""
"O_NRT_EML","PUBLISHED","2012","EMR","AFG","No","","","",""
"O_NRT_EML","PUBLISHED","2014","EMR","AFG","No","","","",""
"O_NRT_EML","PUBLISHED","2016","EMR","AFG","No","","","",""
"O_NRT_EML","PUBLISHED","2018","EMR","AFG","No","","","",""
"O_NRT_EML","PUBLISHED","2007","AFR","AGO","Not applicable","","","",""
"O_NRT_EML","PUBLISHED","2008","AFR","AGO","Not applicable","","","",""
"O_NRT_EML","PUBLISHED","2010","AFR","AGO","Not applicable","","","",""
"O_NRT_EML","PUBLISHED","2012","AFR","AGO","Not applicable","","","",""
"O_NRT_EML","PUBLISHED","2014","AFR","AGO","Not applicable","","","",""
"O_NRT_EML","PUBLISHED","2016","AFR","AGO","Not applicable","","","",""
"O_NRT_EML","PUBLISHED","2018","AFR","AGO","Not applicable","","","",""
"O_NRT_EML","PUBLISHED","2007","EUR","ALB","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2008","EUR","ALB","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2010","EUR","ALB","No","","","",""
"O_NRT_EML","PUBLISHED","2012","EUR","ALB","No","","","",""
"O_NRT_EML","PUBLISHED","2014","EUR","ALB","No","","","",""
"O_NRT_EML","PUBLISHED","2016","EUR","ALB","No","","","",""
"O_NRT_EML","PUBLISHED","2018","EUR","ALB","No","","","",""
"O_NRT_EML","PUBLISHED","2007","EUR","AND","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2008","EUR","AND","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2010","EUR","AND","No","","","",""
"O_NRT_EML","PUBLISHED","2012","EUR","AND","No","","","",""
"O_NRT_EML","PUBLISHED","2014","EUR","AND","No","","","",""
"O_NRT_EML","PUBLISHED","2016","EUR","AND","No","","","",""
"O_NRT_EML","PUBLISHED","2018","EUR","AND","No","","","",""
"O_NRT_EML","PUBLISHED","2007","EMR","ARE","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2008","EMR","ARE","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2010","EMR","ARE","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2012","EMR","ARE","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2014","EMR","ARE","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2016","EMR","ARE","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2018","EMR","ARE","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2007","AMR","ARG","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2008","AMR","ARG","No","","","",""
"O_NRT_EML","PUBLISHED","2010","AMR","ARG","Yes","","","",""
"O_NRT_EML","PUBLISHED","2012","AMR","ARG","Yes","","","",""
"O_NRT_EML","PUBLISHED","2014","AMR","ARG","No","","","",""
"O_NRT_EML","PUBLISHED","2016","AMR","ARG","No","","","",""
"O_NRT_EML","PUBLISHED","2018","AMR","ARG","No","","","",""
"O_NRT_EML","PUBLISHED","2007","EUR","ARM","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2008","EUR","ARM","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2010","EUR","ARM","No","","","",""
"O_NRT_EML","PUBLISHED","2012","EUR","ARM","No","","","",""
"O_NRT_EML","PUBLISHED","2014","EUR","ARM","No","","","",""
"O_NRT_EML","PUBLISHED","2016","EUR","ARM","No","","","",""
"O_NRT_EML","PUBLISHED","2018","EUR","ARM","No","","","",""
"O_NRT_EML","PUBLISHED","2007","AMR","ATG","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2008","AMR","ATG","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2010","AMR","ATG","No","","","",""
"O_NRT_EML","PUBLISHED","2012","AMR","ATG","No","","","",""
"O_NRT_EML","PUBLISHED","2014","AMR","ATG","No","","","",""
"O_NRT_EML","PUBLISHED","2016","AMR","ATG","No","","","",""
"O_NRT_EML","PUBLISHED","2018","AMR","ATG","No","","","",""
"O_NRT_EML","PUBLISHED","2007","WPR","AUS","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2008","WPR","AUS","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2010","WPR","AUS","Yes","","","",""
"O_NRT_EML","PUBLISHED","2012","WPR","AUS","Yes","","","",""
"O_NRT_EML","PUBLISHED","2014","WPR","AUS","Yes","","","",""
"O_NRT_EML","PUBLISHED","2016","WPR","AUS","Yes","","","",""
"O_NRT_EML","PUBLISHED","2018","WPR","AUS","Yes","","","",""
"O_NRT_EML","PUBLISHED","2007","EUR","AUT","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2008","EUR","AUT","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2010","EUR","AUT","No","","","",""
"O_NRT_EML","PUBLISHED","2012","EUR","AUT","No","","","",""
"O_NRT_EML","PUBLISHED","2014","EUR","AUT","No","","","",""
"O_NRT_EML","PUBLISHED","2016","EUR","AUT","No","","","",""
"O_NRT_EML","PUBLISHED","2018","EUR","AUT","No","","","",""
"O_NRT_EML","PUBLISHED","2007","EUR","AZE","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2008","EUR","AZE","Data not available","","","",""
"O_NRT_EML","PUBLISHED","2010","EUR","AZE","No","","","",""
"O_NRT_EML","PUBLISHED","2012","EUR","AZE","No","","","",""
"O_NRT_EML","PUBLISHED","2014","EUR","AZE","No","","","",""
