"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"O_NRT_ins","PUBLISHED","2007","EMR","AFG","No","","","",""
"O_NRT_ins","PUBLISHED","2008","EMR","AFG","No","","","",""
"O_NRT_ins","PUBLISHED","2010","EMR","AFG","No","","","",""
"O_NRT_ins","PUBLISHED","2012","EMR","AFG","No","","","",""
"O_NRT_ins","PUBLISHED","2014","EMR","AFG","No","","","",""
"O_NRT_ins","PUBLISHED","2016","EMR","AFG","No","","","",""
"O_NRT_ins","PUBLISHED","2018","EMR","AFG","No","","","",""
"O_NRT_ins","PUBLISHED","2007","AFR","AGO","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2008","AFR","AGO","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2010","AFR","AGO","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2012","AFR","AGO","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2014","AFR","AGO","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2016","AFR","AGO","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2018","AFR","AGO","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2007","EUR","ALB","Data not available","","","",""
"O_NRT_ins","PUBLISHED","2008","EUR","ALB","Data not available","","","",""
"O_NRT_ins","PUBLISHED","2010","EUR","ALB","Data not available","","","",""
"O_NRT_ins","PUBLISHED","2012","EUR","ALB","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2014","EUR","ALB","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2016","EUR","ALB","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2018","EUR","ALB","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2007","EUR","AND","No","","","",""
"O_NRT_ins","PUBLISHED","2008","EUR","AND","No","","","",""
"O_NRT_ins","PUBLISHED","2010","EUR","AND","No","","","",""
"O_NRT_ins","PUBLISHED","2012","EUR","AND","No","","","",""
"O_NRT_ins","PUBLISHED","2014","EUR","AND","No","","","",""
"O_NRT_ins","PUBLISHED","2016","EUR","AND","No","","","",""
"O_NRT_ins","PUBLISHED","2018","EUR","AND","No","","","",""
"O_NRT_ins","PUBLISHED","2007","EMR","ARE","No","","","",""
"O_NRT_ins","PUBLISHED","2008","EMR","ARE","Partially","","","",""
"O_NRT_ins","PUBLISHED","2010","EMR","ARE","Partially","","","",""
"O_NRT_ins","PUBLISHED","2012","EMR","ARE","Partially","","","",""
"O_NRT_ins","PUBLISHED","2014","EMR","ARE","Partially","","","",""
"O_NRT_ins","PUBLISHED","2016","EMR","ARE","Partially","","","",""
"O_NRT_ins","PUBLISHED","2018","EMR","ARE","Partially","","","",""
"O_NRT_ins","PUBLISHED","2007","AMR","ARG","No","","","",""
"O_NRT_ins","PUBLISHED","2008","AMR","ARG","No","","","",""
"O_NRT_ins","PUBLISHED","2010","AMR","ARG","No","","","",""
"O_NRT_ins","PUBLISHED","2012","AMR","ARG","No","","","",""
"O_NRT_ins","PUBLISHED","2014","AMR","ARG","No","","","",""
"O_NRT_ins","PUBLISHED","2016","AMR","ARG","No","","","",""
"O_NRT_ins","PUBLISHED","2018","AMR","ARG","No","","","",""
"O_NRT_ins","PUBLISHED","2007","EUR","ARM","No","","","",""
"O_NRT_ins","PUBLISHED","2008","EUR","ARM","No","","","",""
"O_NRT_ins","PUBLISHED","2010","EUR","ARM","No","","","",""
"O_NRT_ins","PUBLISHED","2012","EUR","ARM","No","","","",""
"O_NRT_ins","PUBLISHED","2014","EUR","ARM","No","","","",""
"O_NRT_ins","PUBLISHED","2016","EUR","ARM","No","","","",""
"O_NRT_ins","PUBLISHED","2018","EUR","ARM","No","","","",""
"O_NRT_ins","PUBLISHED","2007","AMR","ATG","No","","","",""
"O_NRT_ins","PUBLISHED","2008","AMR","ATG","No","","","",""
"O_NRT_ins","PUBLISHED","2010","AMR","ATG","No","","","",""
"O_NRT_ins","PUBLISHED","2012","AMR","ATG","No","","","",""
"O_NRT_ins","PUBLISHED","2014","AMR","ATG","No","","","",""
"O_NRT_ins","PUBLISHED","2016","AMR","ATG","No","","","",""
"O_NRT_ins","PUBLISHED","2018","AMR","ATG","No","","","",""
"O_NRT_ins","PUBLISHED","2007","WPR","AUS","Partially","","","",""
"O_NRT_ins","PUBLISHED","2008","WPR","AUS","Partially","","","",""
"O_NRT_ins","PUBLISHED","2010","WPR","AUS","Partially","","","",""
"O_NRT_ins","PUBLISHED","2012","WPR","AUS","Partially","","","",""
"O_NRT_ins","PUBLISHED","2014","WPR","AUS","Partially","","","",""
"O_NRT_ins","PUBLISHED","2016","WPR","AUS","Partially","","","",""
"O_NRT_ins","PUBLISHED","2018","WPR","AUS","Partially","","","",""
"O_NRT_ins","PUBLISHED","2007","EUR","AUT","No","","","",""
"O_NRT_ins","PUBLISHED","2008","EUR","AUT","No","","","",""
"O_NRT_ins","PUBLISHED","2010","EUR","AUT","No","","","",""
"O_NRT_ins","PUBLISHED","2012","EUR","AUT","No","","","",""
"O_NRT_ins","PUBLISHED","2014","EUR","AUT","No","","","",""
"O_NRT_ins","PUBLISHED","2016","EUR","AUT","No","","","",""
"O_NRT_ins","PUBLISHED","2018","EUR","AUT","No","","","",""
"O_NRT_ins","PUBLISHED","2007","EUR","AZE","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2008","EUR","AZE","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2010","EUR","AZE","No","","","",""
"O_NRT_ins","PUBLISHED","2012","EUR","AZE","No","","","",""
"O_NRT_ins","PUBLISHED","2014","EUR","AZE","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2016","EUR","AZE","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2018","EUR","AZE","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2007","AFR","BDI","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2008","AFR","BDI","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2010","AFR","BDI","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2012","AFR","BDI","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2014","AFR","BDI","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2016","AFR","BDI","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2018","AFR","BDI","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2007","EUR","BEL","Partially","","","",""
"O_NRT_ins","PUBLISHED","2008","EUR","BEL","Partially","","","",""
"O_NRT_ins","PUBLISHED","2010","EUR","BEL","No","","","",""
"O_NRT_ins","PUBLISHED","2012","EUR","BEL","No","","","",""
"O_NRT_ins","PUBLISHED","2014","EUR","BEL","No","","","",""
"O_NRT_ins","PUBLISHED","2016","EUR","BEL","No","","","",""
"O_NRT_ins","PUBLISHED","2018","EUR","BEL","No","","","",""
"O_NRT_ins","PUBLISHED","2007","AFR","BEN","No","","","",""
"O_NRT_ins","PUBLISHED","2008","AFR","BEN","No","","","",""
"O_NRT_ins","PUBLISHED","2010","AFR","BEN","No","","","",""
"O_NRT_ins","PUBLISHED","2012","AFR","BEN","No","","","",""
"O_NRT_ins","PUBLISHED","2014","AFR","BEN","Partially","","","",""
"O_NRT_ins","PUBLISHED","2016","AFR","BEN","Partially","","","",""
"O_NRT_ins","PUBLISHED","2018","AFR","BEN","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2007","AFR","BFA","No","","","",""
"O_NRT_ins","PUBLISHED","2008","AFR","BFA","No","","","",""
"O_NRT_ins","PUBLISHED","2010","AFR","BFA","No","","","",""
"O_NRT_ins","PUBLISHED","2012","AFR","BFA","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2014","AFR","BFA","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2016","AFR","BFA","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2018","AFR","BFA","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2007","SEAR","BGD","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2008","SEAR","BGD","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2010","SEAR","BGD","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2012","SEAR","BGD","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2014","SEAR","BGD","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2016","SEAR","BGD","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2018","SEAR","BGD","Not applicable","","","",""
"O_NRT_ins","PUBLISHED","2007","EUR","BGR","No","","","",""
"O_NRT_ins","PUBLISHED","2008","EUR","BGR","No","","","",""
"O_NRT_ins","PUBLISHED","2010","EUR","BGR","No","","","",""
"O_NRT_ins","PUBLISHED","2012","EUR","BGR","No","","","",""
"O_NRT_ins","PUBLISHED","2014","EUR","BGR","No","","","",""
