"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"O_Quitline","PUBLISHED","2007","EMR","AFG","No","","","",""
"O_Quitline","PUBLISHED","2008","EMR","AFG","No","","","",""
"O_Quitline","PUBLISHED","2010","EMR","AFG","No","","","",""
"O_Quitline","PUBLISHED","2012","EMR","AFG","No","","","",""
"O_Quitline","PUBLISHED","2014","EMR","AFG","No","","","",""
"O_Quitline","PUBLISHED","2016","EMR","AFG","No","","","",""
"O_Quitline","PUBLISHED","2018","EMR","AFG","No","","","",""
"O_Quitline","PUBLISHED","2007","AFR","AGO","No","","","",""
"O_Quitline","PUBLISHED","2008","AFR","AGO","No","","","",""
"O_Quitline","PUBLISHED","2010","AFR","AGO","No","","","",""
"O_Quitline","PUBLISHED","2012","AFR","AGO","No","","","",""
"O_Quitline","PUBLISHED","2014","AFR","AGO","No","","","",""
"O_Quitline","PUBLISHED","2016","AFR","AGO","No","","","",""
"O_Quitline","PUBLISHED","2018","AFR","AGO","No","","","",""
"O_Quitline","PUBLISHED","2007","EUR","ALB","No","","","",""
"O_Quitline","PUBLISHED","2008","EUR","ALB","No","","","",""
"O_Quitline","PUBLISHED","2010","EUR","ALB","No","","","",""
"O_Quitline","PUBLISHED","2012","EUR","ALB","No","","","",""
"O_Quitline","PUBLISHED","2014","EUR","ALB","No","","","",""
"O_Quitline","PUBLISHED","2016","EUR","ALB","No","","","",""
"O_Quitline","PUBLISHED","2018","EUR","ALB","No","","","",""
"O_Quitline","PUBLISHED","2007","EUR","AND","No","","","",""
"O_Quitline","PUBLISHED","2008","EUR","AND","No","","","",""
"O_Quitline","PUBLISHED","2010","EUR","AND","No","","","",""
"O_Quitline","PUBLISHED","2012","EUR","AND","No","","","",""
"O_Quitline","PUBLISHED","2014","EUR","AND","No","","","",""
"O_Quitline","PUBLISHED","2016","EUR","AND","No","","","",""
"O_Quitline","PUBLISHED","2018","EUR","AND","No","","","",""
"O_Quitline","PUBLISHED","2007","EMR","ARE","Yes","","","",""
"O_Quitline","PUBLISHED","2008","EMR","ARE","Yes","","","",""
"O_Quitline","PUBLISHED","2010","EMR","ARE","Yes","","","",""
"O_Quitline","PUBLISHED","2012","EMR","ARE","Yes","","","",""
"O_Quitline","PUBLISHED","2014","EMR","ARE","Yes","","","",""
"O_Quitline","PUBLISHED","2016","EMR","ARE","Yes","","","",""
"O_Quitline","PUBLISHED","2018","EMR","ARE","Yes","","","",""
"O_Quitline","PUBLISHED","2007","AMR","ARG","Yes","","","",""
"O_Quitline","PUBLISHED","2008","AMR","ARG","Yes","","","",""
"O_Quitline","PUBLISHED","2010","AMR","ARG","Yes","","","",""
"O_Quitline","PUBLISHED","2012","AMR","ARG","Yes","","","",""
"O_Quitline","PUBLISHED","2014","AMR","ARG","Yes","","","",""
"O_Quitline","PUBLISHED","2016","AMR","ARG","Yes","","","",""
"O_Quitline","PUBLISHED","2018","AMR","ARG","Yes","","","",""
"O_Quitline","PUBLISHED","2007","EUR","ARM","Yes","","","",""
