"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"P_compl_p5","PUBLISHED","2018","EMR","AFG","5","5.00000","","",""
"P_compl_p5","PUBLISHED","2018","AFR","AGO","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","EUR","ALB","5","5.00000","","",""
"P_compl_p5","PUBLISHED","2018","EUR","AND","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","EMR","ARE","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AMR","ARG","8","8.00000","","",""
"P_compl_p5","PUBLISHED","2018","EUR","ARM","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AMR","ATG","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","WPR","AUS","Data not available","","","",""
"P_compl_p5","PUBLISHED","2018","EUR","AUT","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","EUR","AZE","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AFR","BDI","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","EUR","BEL","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AFR","BEN","10","10.00000","","",""
"P_compl_p5","PUBLISHED","2018","AFR","BFA","7","7.00000","","",""
"P_compl_p5","PUBLISHED","2018","SEAR","BGD","7","7.00000","","",""
"P_compl_p5","PUBLISHED","2018","EUR","BGR","8","8.00000","","",""
"P_compl_p5","PUBLISHED","2018","EMR","BHR","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AMR","BHS","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","EUR","BIH","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","EUR","BLR","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AMR","BLZ","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AMR","BOL","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AMR","BRA","9","9.00000","","",""
"P_compl_p5","PUBLISHED","2018","AMR","BRB","10","10.00000","","",""
"P_compl_p5","PUBLISHED","2018","WPR","BRN","10","10.00000","","",""
"P_compl_p5","PUBLISHED","2018","SEAR","BTN","10","10.00000","","",""
"P_compl_p5","PUBLISHED","2018","AFR","BWA","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AFR","CAF","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AMR","CAN","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","EUR","CHE","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AMR","CHL","8","8.00000","","",""
"P_compl_p5","PUBLISHED","2018","WPR","CHN","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AFR","CIV","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AFR","CMR","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AFR","COD","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AFR","COG","9","9.00000","","",""
"P_compl_p5","PUBLISHED","2018","WPR","COK","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AMR","COL","10","10.00000","","",""
"P_compl_p5","PUBLISHED","2018","AFR","COM","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AFR","CPV","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","AMR","CRI","7","7.00000","","",""
"P_compl_p5","PUBLISHED","2018","AMR","CUB","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","EUR","CYP","Data not available","","","",""
"P_compl_p5","PUBLISHED","2018","EUR","CZE","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","EUR","DEU","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","EMR","DJI","Data not available","","","",""
"P_compl_p5","PUBLISHED","2018","AMR","DMA","Not applicable","","","",""
"P_compl_p5","PUBLISHED","2018","EUR","DNK","Not applicable","","","",""
