"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PUBLICPRIVATESETTING","Display Value","Numeric","Low","High","Comments"
"RSUD_59","PUBLISHED","2008","AFR","AGO","PUBLIC_GENERAL_HOSPITALS","no","","","",""
"RSUD_59","PUBLISHED","2008","AFR","AGO","PRIVATE_PRACTICE","yes","","","",""
"RSUD_59","PUBLISHED","2008","WPR","AUS","PRIVATE_PRACTICE","yes","","","",""
"RSUD_59","PUBLISHED","2008","WPR","AUS","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","AUT","PRIVATE_PRACTICE","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","AUT","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","AUT","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","BEL","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","BEL","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","BEL","PRIVATE_PRACTICE","yes","","","",""
"RSUD_59","PUBLISHED","2008","AFR","BFA","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_59","PUBLISHED","2008","AFR","BFA","PUBLIC_DRUG_TREATMENT_CENTERS","no","","","",""
"RSUD_59","PUBLISHED","2008","WPR","CHN","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_59","PUBLISHED","2008","WPR","CHN","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","HRV","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","HRV","PUBLIC_GENERAL_HOSPITALS","no","","","",""
"RSUD_59","PUBLISHED","2008","EUR","CYP","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","CYP","PUBLIC_GENERAL_HOSPITALS","no","","","",""
"RSUD_59","PUBLISHED","2008","EUR","DNK","PUBLIC_GENERAL_HOSPITALS","no","","","",""
"RSUD_59","PUBLISHED","2008","EUR","DNK","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","EST","PUBLIC_GENERAL_HOSPITALS","no","","","",""
"RSUD_59","PUBLISHED","2008","EUR","EST","PUBLIC_DRUG_TREATMENT_CENTERS","no","","","",""
"RSUD_59","PUBLISHED","2008","EUR","FIN","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","FIN","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","FRA","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","FRA","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","DEU","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","DEU","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","GRC","PUBLIC_DRUG_TREATMENT_CENTERS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","GRC","PUBLIC_GENERAL_HOSPITALS","yes","","","",""
"RSUD_59","PUBLISHED","2008","EUR","ISL","PUBLIC_DRUG_TREATMENT_CENTERS","no","","","",""
