"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDPREVENTIONPROGRAMME","Display Value","Numeric","Low","High","Comments"
"RSUD_600","PUBLISHED","2014","EMR","AFG","ADS_IN_PUBLIC","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EMR","AFG","MASS_MEDIA_AUDIOVISUAL","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EMR","AFG","MASS_MEDIA_PRINT","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EMR","AFG","SCHOOL_MANUAL_BASED","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EMR","AFG","WORK_PLACE_PROG","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EMR","AFG","COMMUNITY_BASED_PROG","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EMR","AFG","PARENT_PROG","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ALB","ADS_IN_PUBLIC","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ALB","MASS_MEDIA_AUDIOVISUAL","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ALB","MASS_MEDIA_PRINT","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ALB","SCHOOL_MANUAL_BASED","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EUR","ALB","WORK_PLACE_PROG","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EUR","AND","SCHOOL_MANUAL_BASED","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EUR","AND","COMMUNITY_BASED_PROG","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EUR","AND","PARENT_PROG","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EMR","ARE","ADS_IN_PUBLIC","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EMR","ARE","MASS_MEDIA_AUDIOVISUAL","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EMR","ARE","MASS_MEDIA_PRINT","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EMR","ARE","SCHOOL_MANUAL_BASED","Yes","","","",""
"RSUD_600","PUBLISHED","2014","EMR","ARE","PARENT_PROG","Yes","","","",""
