"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUGSUPERVISION","Display Value","Numeric","Low","High","Comments"
"RSUD_63","PUBLISHED","2008","AFR","AGO","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","AFR","AGO","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","WPR","AUS","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","WPR","AUS","SUPERVISION_REQUIRED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","AUT","SUPERVISION_REQUIRED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","AUT","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","AMR","BHS","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","AMR","BHS","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","BEL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","BEL","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","AFR","BFA","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","AFR","BFA","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","DNK","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","DNK","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","EST","SUPERVISION_REQUIRED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","EST","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","FIN","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","FIN","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","AFR","GMB","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","AFR","GMB","SUPERVISION_REQUIRED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","DEU","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","DEU","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","GRC","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","GRC","SUPERVISION_REQUIRED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","HUN","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","HUN","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","ISL","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","ISL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","SEAR","IND","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","SEAR","IND","SUPERVISION_REQUIRED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","IRL","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","IRL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","ITA","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","ITA","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","LTU","SUPERVISION_REQUIRED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","LTU","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","LUX","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","LUX","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","WPR","MYS","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","WPR","MYS","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","MLT","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","MLT","SUPERVISION_REQUIRED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","NLD","SUPERVISION_REQUIRED","no","","","",""
"RSUD_63","PUBLISHED","2008","WPR","NZL","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","WPR","NZL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","NOR","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","POL","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","POL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","SVK","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","SVK","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","SVN","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","SVN","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_63","PUBLISHED","2008","EUR","SWE","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_63","PUBLISHED","2008","EUR","SWE","SUPERVISION_REQUIRED","yes","","","",""
