"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PROGRAMME","Display Value","Numeric","Low","High","Comments"
"RSUD_630","PUBLISHED","2014","EMR","AFG","NEEDLESYRINGE_EXCH_PRGRMS","Yes","","","",""
"RSUD_630","PUBLISHED","2014","EMR","AFG","OUTREACH_SERVICES_INJECTINGDRUGUSERS","Yes","","","",""
"RSUD_630","PUBLISHED","2014","EMR","AFG","CONDOM_DISTRIBUTION","Yes","","","",""
"RSUD_630","PUBLISHED","2014","EUR","ALB","NALOXONE_DISTRIBUTION","No","","","",""
"RSUD_630","PUBLISHED","2014","EUR","ALB","NEEDLESYRINGE_EXCH_PRGRMS","Yes","","","",""
"RSUD_630","PUBLISHED","2014","EUR","ALB","OUTREACH_SERVICES_INJECTINGDRUGUSERS","Yes","","","",""
"RSUD_630","PUBLISHED","2014","EUR","ALB","DROP_IN_SERVICES","Yes","","","",""
"RSUD_630","PUBLISHED","2014","EUR","ALB","CONDOM_DISTRIBUTION","Yes","","","",""
"RSUD_630","PUBLISHED","2014","EUR","AND","NEEDLESYRINGE_EXCH_PRGRMS","No","","","",""
"RSUD_630","PUBLISHED","2014","EUR","AND","OUTREACH_SERVICES_INJECTINGDRUGUSERS","No","","","",""
"RSUD_630","PUBLISHED","2014","EUR","AND","DROP_IN_SERVICES","No","","","",""
"RSUD_630","PUBLISHED","2014","EUR","AND","NALOXONE_DISTRIBUTION","No","","","",""
"RSUD_630","PUBLISHED","2014","EUR","AND","CONDOM_DISTRIBUTION","No","","","",""
"RSUD_630","PUBLISHED","2014","EMR","ARE","NEEDLESYRINGE_EXCH_PRGRMS","No","","","",""
"RSUD_630","PUBLISHED","2014","EMR","ARE","OUTREACH_SERVICES_INJECTINGDRUGUSERS","No","","","",""
"RSUD_630","PUBLISHED","2014","EMR","ARE","NALOXONE_DISTRIBUTION","No","","","",""
"RSUD_630","PUBLISHED","2014","EMR","ARE","CONDOM_DISTRIBUTION","No","","","",""
"RSUD_630","PUBLISHED","2014","AMR","ARG","NEEDLESYRINGE_EXCH_PRGRMS","No","","","",""
"RSUD_630","PUBLISHED","2014","AMR","ARG","OUTREACH_SERVICES_INJECTINGDRUGUSERS","No","","","",""
"RSUD_630","PUBLISHED","2014","AMR","ARG","DROP_IN_SERVICES","No","","","",""
"RSUD_630","PUBLISHED","2014","AMR","ARG","NALOXONE_DISTRIBUTION","No","","","",""
"RSUD_630","PUBLISHED","2014","AMR","ARG","CONDOM_DISTRIBUTION","Yes","","","",""
