"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUGPRESCRIPTION","Display Value","Numeric","Low","High","Comments"
"RSUD_64","PUBLISHED","2008","EUR","ALB","NON_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ALB","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ALB","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","AFR","AGO","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","AFR","AGO","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","AFR","AGO","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","WPR","AUS","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","WPR","AUS","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","WPR","AUS","NON_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","AUT","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","AUT","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","AUT","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","AMR","BHS","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","AMR","BHS","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","AMR","BHS","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","EMR","BHR","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EMR","BHR","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EMR","BHR","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","BLR","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","BLR","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","BLR","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","BEL","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","BEL","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","BEL","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","WPR","CHN","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","WPR","CHN","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","WPR","CHN","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","AMR","COL","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","AMR","COL","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","AMR","COL","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","HRV","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","HRV","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","HRV","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","CYP","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","CYP","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","CYP","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","DNK","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","DNK","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","DNK","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","EST","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","EST","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","EST","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","FIN","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","FIN","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","FIN","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","FRA","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","FRA","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","FRA","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","AFR","GMB","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","AFR","GMB","NON_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","AFR","GMB","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","GEO","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","GEO","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","GEO","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","DEU","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","DEU","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","DEU","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","GRC","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","GRC","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","GRC","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","HUN","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","HUN","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","HUN","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ISL","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ISL","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ISL","NON_DOCTORS","no","","","",""
