"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUGPRESCRIPTION","OPENACCESSSERVICE","Display Value","Numeric","Low","High","Comments"
"RSUD_66","PUBLISHED","2008","AFR","AGO","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","AFR","AGO","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","AFR","AGO","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","WPR","AUS","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","WPR","AUS","NON_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","WPR","AUS","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","AUT","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","AUT","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","AUT","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","AMR","BHS","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","AMR","BHS","ANY_DOCTOR","","yes","","","",""
"RSUD_66","PUBLISHED","2008","AMR","BHS","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","DNK","ANY_DOCTOR","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","DNK","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","DNK","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","EST","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","EST","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","EST","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","FIN","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","FIN","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","FIN","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","AFR","GMB","NON_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","AFR","GMB","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","AFR","GMB","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","DEU","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","DEU","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","DEU","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","GRC","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","GRC","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","GRC","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","HUN","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","HUN","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","HUN","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","ISL","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","ISL","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","ISL","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","SEAR","IND","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","SEAR","IND","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","SEAR","IND","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","IRL","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","IRL","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","IRL","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","ITA","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","ITA","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","ITA","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","LTU","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","LTU","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","LTU","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","LUX","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","LUX","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","LUX","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","WPR","MYS","ANY_DOCTOR","","yes","","","",""
"RSUD_66","PUBLISHED","2008","WPR","MYS","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","WPR","MYS","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","MLT","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","MLT","ANY_DOCTOR","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","MLT","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","NLD","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","NLD","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","NLD","ANY_DOCTOR","","yes","","","",""
"RSUD_66","PUBLISHED","2008","WPR","NZL","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","WPR","NZL","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","WPR","NZL","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","NOR","ANY_DOCTOR","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","NOR","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","NOR","SPECIALIZED_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","POL","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","POL","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","POL","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","MDA","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","SVK","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","SVK","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","SVK","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","SVN","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","SVN","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","SVN","ANY_DOCTOR","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","SWE","SPECIALIZED_DOCTORS","","yes","","","",""
"RSUD_66","PUBLISHED","2008","EUR","SWE","NON_DOCTORS","","no","","","",""
"RSUD_66","PUBLISHED","2008","EUR","SWE","ANY_DOCTOR","","no","","","",""
