"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUG","Display Value","Numeric","Low","High","Comments"
"RSUD_69","PUBLISHED","2008","EMR","AFG","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","EMR","AFG","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","EMR","AFG","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","EUR","ALB","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","EUR","ALB","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","EUR","ALB","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","DZA","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","AFR","DZA","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","AFR","DZA","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","AGO","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","AFR","AGO","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","AGO","GRADUAL_BENZODIAZEPINE_REDUCTN","no","","","",""
"RSUD_69","PUBLISHED","2008","EUR","ARM","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","EUR","ARM","GRADUAL_BENZODIAZEPINE_REDUCTN","no","","","",""
"RSUD_69","PUBLISHED","2008","EUR","ARM","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","WPR","AUS","CARBAMAZEPINE","no","","","",""
"RSUD_69","PUBLISHED","2008","WPR","AUS","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","WPR","AUS","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","EUR","AUT","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","EUR","AUT","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","EUR","AUT","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","EUR","AZE","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","EUR","AZE","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","AMR","BHS","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","AMR","BHS","FLUMAZENIL_INFUSION","yes","","","",""
"RSUD_69","PUBLISHED","2008","AMR","BHS","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","EMR","BHR","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","EMR","BHR","CARBAMAZEPINE","no","","","",""
"RSUD_69","PUBLISHED","2008","EMR","BHR","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","SEAR","BGD","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","SEAR","BGD","CARBAMAZEPINE","no","","","",""
"RSUD_69","PUBLISHED","2008","SEAR","BGD","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","EUR","BLR","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","EUR","BLR","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","EUR","BLR","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","EUR","BEL","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","EUR","BEL","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","EUR","BEL","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","AMR","BLZ","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","AMR","BLZ","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","AFR","BEN","FLUMAZENIL_INFUSION","yes","","","",""
"RSUD_69","PUBLISHED","2008","AFR","BEN","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","AFR","BEN","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","SEAR","BTN","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","SEAR","BTN","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","SEAR","BTN","CARBAMAZEPINE","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","BWA","CARBAMAZEPINE","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","BWA","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","BWA","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","WPR","BRN","CARBAMAZEPINE","no","","","",""
"RSUD_69","PUBLISHED","2008","WPR","BRN","GRADUAL_BENZODIAZEPINE_REDUCTN","no","","","",""
"RSUD_69","PUBLISHED","2008","WPR","BRN","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","EUR","BGR","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","EUR","BGR","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","EUR","BGR","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","AFR","BDI","CARBAMAZEPINE","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","BDI","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","BDI","GRADUAL_BENZODIAZEPINE_REDUCTN","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","CMR","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","CMR","CARBAMAZEPINE","yes","","","",""
"RSUD_69","PUBLISHED","2008","AFR","CMR","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","AFR","CPV","GRADUAL_BENZODIAZEPINE_REDUCTN","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","CPV","CARBAMAZEPINE","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","CPV","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","CAF","CARBAMAZEPINE","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","CAF","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","AFR","CAF","FLUMAZENIL_INFUSION","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","TCD","GRADUAL_BENZODIAZEPINE_REDUCTN","yes","","","",""
"RSUD_69","PUBLISHED","2008","AFR","TCD","CARBAMAZEPINE","no","","","",""
"RSUD_69","PUBLISHED","2008","AFR","TCD","FLUMAZENIL_INFUSION","no","","","",""
