"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"RSUD_71","PUBLISHED","2008","EMR","AFG","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","ALB","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","DZA","no","","","",""
"RSUD_71","PUBLISHED","2008","AFR","AGO","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","ARM","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","AUS","no","","","",""
"RSUD_71","PUBLISHED","2008","EUR","AUT","no","","","",""
"RSUD_71","PUBLISHED","2008","EUR","AZE","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","BHS","yes","","","",""
"RSUD_71","PUBLISHED","2008","EMR","BHR","yes","","","",""
"RSUD_71","PUBLISHED","2008","SEAR","BGD","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","BLR","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","BEL","no","","","",""
"RSUD_71","PUBLISHED","2008","AMR","BLZ","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","BEN","yes","","","",""
"RSUD_71","PUBLISHED","2008","SEAR","BTN","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","BWA","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","BRN","no","","","",""
"RSUD_71","PUBLISHED","2008","EUR","BGR","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","BFA","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","BDI","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","CMR","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","CAN","no","","","",""
"RSUD_71","PUBLISHED","2008","AFR","CPV","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","CAF","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","TCD","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","CHL","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","CHN","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","COL","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","COM","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","COG","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","CRI","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","HRV","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","CYP","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","COD","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","DNK","no","","","",""
"RSUD_71","PUBLISHED","2008","AMR","DOM","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","ECU","yes","","","",""
"RSUD_71","PUBLISHED","2008","EMR","EGY","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","SLV","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","GNQ","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","ERI","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","EST","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","ETH","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","FJI","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","FIN","no","","","",""
"RSUD_71","PUBLISHED","2008","EUR","FRA","no","","","",""
"RSUD_71","PUBLISHED","2008","AFR","GAB","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","GMB","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","GEO","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","DEU","no","","","",""
"RSUD_71","PUBLISHED","2008","AFR","GHA","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","GRC","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","GTM","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","GIN","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","HND","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","HUN","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","ISL","no","","","",""
"RSUD_71","PUBLISHED","2008","SEAR","IND","yes","","","",""
"RSUD_71","PUBLISHED","2008","SEAR","IDN","yes","","","",""
"RSUD_71","PUBLISHED","2008","EMR","IRN","yes","","","",""
"RSUD_71","PUBLISHED","2008","EMR","IRQ","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","IRL","no","","","",""
"RSUD_71","PUBLISHED","2008","EUR","ISR","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","ITA","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","JAM","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","JPN","no","","","",""
"RSUD_71","PUBLISHED","2008","EMR","JOR","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","KGZ","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","LAO","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","LVA","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","LSO","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","LBR","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","LTU","no","","","",""
"RSUD_71","PUBLISHED","2008","EUR","LUX","no","","","",""
"RSUD_71","PUBLISHED","2008","AFR","MDG","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","MWI","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","MYS","yes","","","",""
"RSUD_71","PUBLISHED","2008","SEAR","MDV","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","MLI","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","MLT","no","","","",""
"RSUD_71","PUBLISHED","2008","AFR","MRT","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","MUS","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","MEX","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","MNG","yes","","","",""
"RSUD_71","PUBLISHED","2008","EMR","MAR","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","MOZ","yes","","","",""
"RSUD_71","PUBLISHED","2008","SEAR","MMR","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","NAM","yes","","","",""
"RSUD_71","PUBLISHED","2008","SEAR","NPL","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","NLD","no","","","",""
"RSUD_71","PUBLISHED","2008","WPR","NZL","no","","","",""
"RSUD_71","PUBLISHED","2008","AMR","NIC","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","NER","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","NGA","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","NOR","yes","","","",""
"RSUD_71","PUBLISHED","2008","EMR","OMN","yes","","","",""
"RSUD_71","PUBLISHED","2008","EMR","PAK","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","PLW","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","PAN","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","PNG","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","PRY","no","","","",""
"RSUD_71","PUBLISHED","2008","WPR","PHL","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","POL","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","KOR","no","","","",""
"RSUD_71","PUBLISHED","2008","EUR","MDA","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","RUS","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","RWA","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","LCA","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","SMR","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","STP","yes","","","",""
"RSUD_71","PUBLISHED","2008","EMR","SAU","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","SEN","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","SRB","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","SYC","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","SLE","yes","","","",""
"RSUD_71","PUBLISHED","2008","WPR","SGP","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","SVK","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","SVN","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","ZAF","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","ESP","yes","","","",""
"RSUD_71","PUBLISHED","2008","SEAR","LKA","yes","","","",""
"RSUD_71","PUBLISHED","2008","EMR","SDN","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","SUR","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","SWZ","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","SWE","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","CHE","no","","","",""
"RSUD_71","PUBLISHED","2008","EMR","SYR","no","","","",""
"RSUD_71","PUBLISHED","2008","EUR","TJK","yes","","","",""
"RSUD_71","PUBLISHED","2008","SEAR","THA","yes","","","",""
"RSUD_71","PUBLISHED","2008","SEAR","TLS","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","TGO","no","","","",""
"RSUD_71","PUBLISHED","2008","EMR","TUN","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","TUR","no","","","",""
"RSUD_71","PUBLISHED","2008","AFR","UGA","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","UKR","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","URY","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","UZB","yes","","","",""
"RSUD_71","PUBLISHED","2008","AMR","VEN","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","ZMB","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","ZWE","yes","","","",""
"RSUD_71","PUBLISHED","2008","EUR","MNE","yes","","","",""
"RSUD_71","PUBLISHED","2008","AFR","CIV","yes","","","",""
