"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUG","RSUDHWF","Display Value","Numeric","Low","High","Comments"
"RSUD_72","PUBLISHED","2008","EMR","AFG","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","AFG","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EMR","AFG","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","AFG","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","AFG","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EMR","AFG","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","AFG","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","ALB","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","ALB","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","ALB","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","ALB","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","ALB","NALTREXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","ALB","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","ALB","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","AGO","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","AGO","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","AGO","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","AGO","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","AGO","BENZODIAZEPINES","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","AGO","BUPRENORPHINE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","AGO","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","AZE","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","AZE","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","AZE","NALTREXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","AZE","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","AZE","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","AZE","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","AZE","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BHS","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BHS","ACAMPROSATE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BHS","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BHS","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BHS","BUPRENORPHINE","","yes","","","",""
