"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDHWF","Display Value","Numeric","Low","High","Comments"
"RSUD_750","PUBLISHED","2014","EMR","ARE","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","ARM","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","ARM","NARCOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","ARM","NURSES_NOT_SPECIALIZED_IN_PSYCH","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","ARM","PSYCHIATRIC_NURSES","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","ARM","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","ARM","PSYCHOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","ARM","SOCIAL_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","WPR","AUS","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","WPR","AUS","NARCOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","WPR","AUS","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AUT","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AUT","ADDICTION_COUNSELLORS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AUT","NARCOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AUT","COMMUNITY_HEALTH_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AUT","NURSES_NOT_SPECIALIZED_IN_PSYCH","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AUT","OUTREACH_FIELD_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AUT","PSYCHIATRIC_NURSES","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AUT","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AUT","PSYCHOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AUT","SOCIAL_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AZE","PSYCHIATRIC_NURSES","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AZE","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","AZE","PSYCHOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BDI","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BDI","NURSES_NOT_SPECIALIZED_IN_PSYCH","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BDI","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BDI","PSYCHOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BDI","SOCIAL_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","BEL","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","BEL","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BEN","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BEN","PSYCHIATRIC_NURSES","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BEN","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BEN","PSYCHOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BEN","SOCIAL_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BFA","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BFA","NURSES_NOT_SPECIALIZED_IN_PSYCH","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BFA","PSYCHIATRIC_NURSES","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","BFA","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EMR","BHR","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EMR","BHR","ADDICTION_COUNSELLORS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EMR","BHR","NARCOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EMR","BHR","PSYCHIATRIC_NURSES","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EMR","BHR","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EMR","BHR","PSYCHOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EMR","BHR","SOCIAL_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","BLR","NARCOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","BLR","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AMR","BLZ","OUTREACH_FIELD_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AMR","BLZ","SOCIAL_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AMR","BOL","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AMR","BOL","PSYCHOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AMR","BRA","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AMR","BRA","NARCOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AMR","BRA","COMMUNITY_HEALTH_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AMR","BRA","NURSES_NOT_SPECIALIZED_IN_PSYCH","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AMR","BRA","PSYCHIATRIC_NURSES","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AMR","BRA","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AMR","BRA","PSYCHOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","SEAR","BTN","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","SEAR","BTN","PSYCHIATRIC_NURSES","Yes","","","",""
"RSUD_750","PUBLISHED","2014","SEAR","BTN","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","CAF","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","CAF","COMMUNITY_HEALTH_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","CAF","NURSES_NOT_SPECIALIZED_IN_PSYCH","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","CAF","PSYCHIATRIC_NURSES","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","CAF","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","CAF","PSYCHOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","AFR","CAF","SOCIAL_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","CHE","DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","CHE","NARCOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","CHE","NURSES_NOT_SPECIALIZED_IN_PSYCH","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","CHE","PSYCHIATRIC_NURSES","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","CHE","PSYCHIATRISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","CHE","PSYCHOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","EUR","CHE","SOCIAL_WORKERS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","WPR","CHN","NARCOLOGISTS","Yes","","","",""
"RSUD_750","PUBLISHED","2014","WPR","CHN","PSYCHIATRISTS","Yes","","","",""
