"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","Display Value","Numeric","Low","High","Comments"
"RSUD_790","PUBLISHED","2014","EMR","AFG","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ALB","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ALB","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ALB","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ALB","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AND","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AND","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AND","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AND","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","ARE","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","ARE","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","ARG","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","ARG","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","ARG","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ARM","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ARM","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ARM","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ARM","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","WPR","AUS","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","AUS","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","AUS","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","AUS","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AUT","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AUT","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AUT","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AUT","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AZE","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AZE","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AZE","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","AZE","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BDI","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BDI","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BDI","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","BEL","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","BEL","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","BEL","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","BEL","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BEN","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BEN","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BEN","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BEN","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BFA","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BFA","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BFA","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BFA","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","BHR","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","BHR","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","BHR","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","BHR","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","BIH","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","BLR","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","BLR","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","BLR","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","BLR","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","BLZ","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","BLZ","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","BLZ","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","BLZ","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","BOL","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","BRA","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","BRA","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","BRB","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","BRN","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","WPR","BRN","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","WPR","BRN","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","WPR","BRN","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","BTN","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","BTN","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","BTN","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","BTN","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BWA","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BWA","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","BWA","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","CAF","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","CAF","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","CAF","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","CAF","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","CAN","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","CAN","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","CAN","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","CAN","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","CHE","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","CHE","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","CHL","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","CHL","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","CHN","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","CHN","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","CHN","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COD","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COD","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COD","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COD","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COG","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COG","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COG","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COG","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","COL","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","COL","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","COL","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COM","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COM","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COM","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","COM","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AMR","CRI","MASTER","Yes","","","",""
