"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUBSTANCETYPE","Display Value","Numeric","Low","High","Comments"
"RSUD_8","PUBLISHED","2008","EMR","AFG","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","AFG","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","ALB","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","ALB","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","DZA","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","DZA","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","AGO","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","AGO","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","ARM","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","ARM","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","AUS","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","AUS","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","AUT","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","AUT","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","AZE","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","AZE","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","BHS","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","BHS","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","BHR","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","BHR","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","BGD","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","BGD","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","BLR","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","BLR","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","BEL","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","BEL","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","BLZ","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","BLZ","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","BEN","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","BEN","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","BTN","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","BTN","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","BWA","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","BWA","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","BRN","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","BGR","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","BGR","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","BFA","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","BFA","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","BDI","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","BDI","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","CMR","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","CMR","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","CAN","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","CAN","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","CPV","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","CPV","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","CAF","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","CAF","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","TCD","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","TCD","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","CHL","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","CHL","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","CHN","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","CHN","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","COL","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","COL","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","COM","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","COM","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","COG","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","COG","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","CRI","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","CRI","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","HRV","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","HRV","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","CYP","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","CYP","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","COD","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","COD","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","DNK","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","DNK","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","DOM","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","DOM","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","ECU","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","ECU","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","EGY","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","EGY","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","SLV","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","SLV","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","GNQ","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","GNQ","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","ERI","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","ERI","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","EST","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","EST","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","ETH","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","ETH","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","FJI","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","FJI","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","FIN","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","FIN","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","FRA","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","FRA","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","GAB","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","GAB","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","GMB","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","GMB","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","GEO","DRUGS","no","","","",""
