"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RSUDREPORTING","Display Value","Numeric","Low","High","Comments"
"RSUD_840","PUBLISHED","2014","EMR","AFG","DATA_FROM_HEALTH_SERVICES_DELIVERY_REPORTING","Yes, but not in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","EUR","ALB","EPIDEMIOLOGICAL_DATA_REPORTING","Yes, in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","EUR","AND","EPIDEMIOLOGICAL_DATA_REPORTING","Yes, but not in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","EUR","AND","DATA_FROM_HEALTH_SERVICES_DELIVERY_REPORTING","Yes, but not in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","WPR","AUS","EPIDEMIOLOGICAL_DATA_REPORTING","Yes, in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","WPR","AUS","DATA_FROM_HEALTH_SERVICES_DELIVERY_REPORTING","Yes, in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","EUR","AUT","EPIDEMIOLOGICAL_DATA_REPORTING","Yes, in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","EUR","AUT","DATA_FROM_HEALTH_SERVICES_DELIVERY_REPORTING","Yes, in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","EUR","AZE","EPIDEMIOLOGICAL_DATA_REPORTING","Not in the last 5 years","","","",""
"RSUD_840","PUBLISHED","2014","EUR","AZE","DATA_FROM_HEALTH_SERVICES_DELIVERY_REPORTING","Not in the last 5 years","","","",""
"RSUD_840","PUBLISHED","2014","AFR","BDI","EPIDEMIOLOGICAL_DATA_REPORTING","Not in the last 5 years","","","",""
"RSUD_840","PUBLISHED","2014","AFR","BDI","DATA_FROM_HEALTH_SERVICES_DELIVERY_REPORTING","Not in the last 5 years","","","",""
"RSUD_840","PUBLISHED","2014","EUR","BEL","EPIDEMIOLOGICAL_DATA_REPORTING","Yes, in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","EUR","BEL","DATA_FROM_HEALTH_SERVICES_DELIVERY_REPORTING","Yes, in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","AFR","BFA","EPIDEMIOLOGICAL_DATA_REPORTING","Not in the last 5 years","","","",""
"RSUD_840","PUBLISHED","2014","AFR","BFA","DATA_FROM_HEALTH_SERVICES_DELIVERY_REPORTING","Not in the last 5 years","","","",""
"RSUD_840","PUBLISHED","2014","SEAR","BGD","EPIDEMIOLOGICAL_DATA_REPORTING","Yes, but not in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","SEAR","BGD","DATA_FROM_HEALTH_SERVICES_DELIVERY_REPORTING","Yes, in a specific substance use report","","","",""
"RSUD_840","PUBLISHED","2014","EUR","BIH","EPIDEMIOLOGICAL_DATA_REPORTING","Yes, in a specific substance use report","","","",""
