"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","AGO","Data not available","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","AND","2.8","2.80000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","AZE","0.6","0.60000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","BEL","5.5","5.50000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EMR","BHR","0.8","0.80000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","BIH","4","4.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","SEAR","BTN","Not applicable","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","CAF","400","400.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","COD","Data not available","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","WPR","COK","24","24.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AMR","CUB","7","7.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","CZE","84","84.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EMR","DJI","Data not available","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AMR","ECU","5.4","5.40000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","ERI","Data not available","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","WPR","FSM","3.5","3.50000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","GBR","7.63","7.63000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","GNB","400","400.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","GRC","3.9","3.90000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AMR","GTM","18","18.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","HUN","1 031.00","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","SEAR","IND","120","120.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AMR","JAM","726","726.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","WPR","JPN","330","330.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","WPR","KIR","4","4.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","WPR","KOR","4 285.71","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","WPR","LAO","3 000.00","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","SEAR","LKA","Data not available","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","LTU","3.15","3.15000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","SEAR","MDV","55","55.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","WPR","MHL","2.5","2.50000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","MOZ","45","45.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","MUS","137","137.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","NGA","Data not available","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","WPR","NIU","24","24.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EMR","PAK","48","48.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AMR","PER","12","12.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AMR","PRY","2 000.00","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EMR","QAT","3.5","3.50000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EMR","SDN","18","18.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","WPR","SGP","10.5","10.50000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","SSD","Data not available","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AMR","SUR","24","24.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","TCD","700","700.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","SEAR","THA","55","55.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AMR","TTO","15","15.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","TUR","7.5","7.50000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","UZB","3 500.00","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AMR","VEN","286","286.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","ZWE","0.9","0.90000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","ALB","200","200.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EMR","ARE","8","8.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","AUT","4.4","4.40000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","BDI","Data not available","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AMR","BHS","Data not available","","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","BLR","0.95","0.95000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","BWA","26.95","26.95000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AMR","CAN","7.12","7.12000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","CMR","300","300.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","COG","500","500.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","CYP","3.8","3.80000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","DEU","5.2","5.20000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EMR","EGY","16","16.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","ESP","4","4.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","EUR","FRA","7.7","7.70000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","GAB","700","700.00000","","",""
"R_Price_lowest_cost_estimate","PUBLISHED","2018","AFR","GNQ","Data not available","","","",""
