"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"R_afford_cat","PUBLISHED","2018","EMR","AFG","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","AGO","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","ALB","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","AND","Data not available","","","",""
"R_afford_cat","PUBLISHED","2018","EMR","ARE","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","ARG","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","ARM","More affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","ATG","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","WPR","AUS","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","AUT","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","AZE","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","BDI","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","BEL","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","BEN","More affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","BFA","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","SEAR","BGD","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","BGR","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","EMR","BHR","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","BHS","Data not available","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","BIH","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","BLR","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","BLZ","More affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","BOL","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","BRA","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","BRB","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","WPR","BRN","Not applicable","","","",""
"R_afford_cat","PUBLISHED","2018","SEAR","BTN","Not applicable","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","BWA","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","CAF","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","CAN","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","CHE","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","CHL","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","WPR","CHN","More affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","CIV","More affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","CMR","More affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","COD","More affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","COG","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","WPR","COK","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","COL","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","COM","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","AFR","CPV","More affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","CRI","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","CUB","Data not available","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","CYP","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","CZE","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","DEU","Less affordable","","","",""
"R_afford_cat","PUBLISHED","2018","EMR","DJI","Data not available","","","",""
"R_afford_cat","PUBLISHED","2018","AMR","DMA","No change in affordability","","","",""
"R_afford_cat","PUBLISHED","2018","EUR","DNK","No change in affordability","","","",""
