"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001421","PUBLISHED","2004","EMR","AFG","MLE","412","412.00000","","",""
"SA_0000001421","PUBLISHED","2004","EMR","AFG","FMLE","371","371.00000","","",""
"SA_0000001421","PUBLISHED","2004","EMR","AFG","BTSX","394","394.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","ALB","BTSX","177","177.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","ALB","FMLE","169","169.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","ALB","MLE","185","185.00000","","",""
"SA_0000001421","PUBLISHED","2004","AFR","DZA","MLE","322","322.00000","","",""
"SA_0000001421","PUBLISHED","2004","AFR","DZA","FMLE","418","418.00000","","",""
"SA_0000001421","PUBLISHED","2004","AFR","DZA","BTSX","373","373.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","AND","BTSX","238","238.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","AND","MLE","253","253.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","AND","FMLE","222","222.00000","","",""
"SA_0000001421","PUBLISHED","2004","AFR","AGO","BTSX","695","695.00000","","",""
"SA_0000001421","PUBLISHED","2004","AFR","AGO","MLE","605","605.00000","","",""
"SA_0000001421","PUBLISHED","2004","AFR","AGO","FMLE","771","771.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","ATG","BTSX","869","869.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","ATG","FMLE","924","924.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","ATG","MLE","810","810.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","ARG","BTSX","467","467.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","ARG","FMLE","513","513.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","ARG","MLE","417","417.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","ARM","MLE","669","669.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","ARM","FMLE","767","767.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","ARM","BTSX","728","728.00000","","",""
"SA_0000001421","PUBLISHED","2004","WPR","AUS","FMLE","171","171.00000","","",""
"SA_0000001421","PUBLISHED","2004","WPR","AUS","BTSX","201","201.00000","","",""
"SA_0000001421","PUBLISHED","2004","WPR","AUS","MLE","232","232.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","AUT","FMLE","239","239.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","AUT","MLE","284","284.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","AUT","BTSX","261","261.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","AZE","MLE","450","450.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","AZE","FMLE","576","576.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","AZE","BTSX","519","519.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","BHS","MLE","602","602.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","BHS","BTSX","690","690.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","BHS","FMLE","769","769.00000","","",""
"SA_0000001421","PUBLISHED","2004","EMR","BHR","FMLE","898","898.00000","","",""
"SA_0000001421","PUBLISHED","2004","EMR","BHR","MLE","849","849.00000","","",""
"SA_0000001421","PUBLISHED","2004","EMR","BHR","BTSX","868","868.00000","","",""
"SA_0000001421","PUBLISHED","2004","SEAR","BGD","FMLE","340","340.00000","","",""
"SA_0000001421","PUBLISHED","2004","SEAR","BGD","BTSX","330","330.00000","","",""
"SA_0000001421","PUBLISHED","2004","SEAR","BGD","MLE","320","320.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","BRB","BTSX","635","635.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","BRB","MLE","617","617.00000","","",""
"SA_0000001421","PUBLISHED","2004","AMR","BRB","FMLE","654","654.00000","","",""
"SA_0000001421","PUBLISHED","2004","EUR","BLR","BTSX","295","295.00000","","",""
