"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","SMR","MLE","","","","","missing data"
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","SMR","FMLE","","","","","missing data"
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EMR","KWT","FMLE","0.1 [0.1-0.1]","0.10000","0.10000","0.10000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EMR","QAT","MLE","0.2 [0.1-0.2]","0.20000","0.10000","0.20000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","COG","FMLE","0.2 [0.2-0.2]","0.20000","0.20000","0.20000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","GEO","FMLE","0.2 [0.2-0.2]","0.20000","0.20000","0.20000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EMR","PAK","BTSX","0.2 [0.2-0.2]","0.20000","0.20000","0.20000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","JPN","FMLE","0.2 [0.2-0.2]","0.20000","0.20000","0.20000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","SEAR","IDN","FMLE","0.2 [0.2-0.3]","0.20000","0.20000","0.30000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","MRT","MLE","0.3 [0.2-0.3]","0.30000","0.20000","0.30000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EMR","BHR","BTSX","0.3 [0.2-0.3]","0.30000","0.20000","0.30000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EMR","LBN","BTSX","0.3 [0.3-0.3]","0.30000","0.30000","0.30000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EMR","ARE","MLE","0.3 [0.3-0.3]","0.30000","0.30000","0.30000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EMR","SOM","MLE","0.3 [0.3-0.4]","0.30000","0.30000","0.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EMR","JOR","MLE","0.3 [0.3-0.4]","0.30000","0.30000","0.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EMR","MAR","MLE","0.3 [0.3-0.4]","0.30000","0.30000","0.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EMR","PAK","MLE","0.3 [0.3-0.4]","0.30000","0.30000","0.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","KEN","FMLE","0.4 [0.3-0.4]","0.40000","0.30000","0.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EMR","SAU","MLE","0.4 [0.3-0.4]","0.40000","0.30000","0.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","GHA","FMLE","0.4 [0.4-0.4]","0.40000","0.40000","0.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","SGP","BTSX","0.5 [0.4-0.5]","0.50000","0.40000","0.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AMR","JAM","FMLE","0.5 [0.5-0.5]","0.50000","0.50000","0.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","KHM","FMLE","0.7 [0.6-0.7]","0.70000","0.60000","0.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","GMB","BTSX","0.7 [0.6-0.7]","0.70000","0.60000","0.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","LAO","FMLE","0.7 [0.6-0.7]","0.70000","0.60000","0.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","SLB","FMLE","0.7 [0.6-0.7]","0.70000","0.60000","0.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","TON","FMLE","0.7 [0.6-0.7]","0.70000","0.60000","0.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","VUT","FMLE","0.7 [0.6-0.7]","0.70000","0.60000","0.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","FJI","FMLE","0.7 [0.6-0.7]","0.70000","0.60000","0.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","ESP","BTSX","0.7 [0.6-0.7]","0.70000","0.60000","0.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","TUV","FMLE","0.7 [0.6-0.7]","0.70000","0.60000","0.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","SEAR","BGD","BTSX","0.7 [0.7-0.7]","0.70000","0.70000","0.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","MLT","FMLE","0.7 [0.7-0.7]","0.70000","0.70000","0.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","MLI","BTSX","0.7 [0.7-0.8]","0.70000","0.70000","0.80000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","UGA","FMLE","0.7 [0.7-0.8]","0.70000","0.70000","0.80000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","DZA","BTSX","0.7 [0.7-0.8]","0.70000","0.70000","0.80000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AMR","CHL","FMLE","0.8 [0.7-0.8]","0.80000","0.70000","0.80000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","AUS","FMLE","0.8 [0.7-0.8]","0.80000","0.70000","0.80000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","GNQ","FMLE","0.8 [0.7-0.8]","0.80000","0.70000","0.80000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AMR","CPV","FMLE","0.8 [0.8-0.9]","0.80000","0.80000","0.90000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","TZA","FMLE","0.9 [0.8-0.9]","0.90000","0.80000","0.90000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","ISL","FMLE","0.9 [0.8-1.0]","0.90000","0.80000","1.00000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","ETH","BTSX","0.9 [0.9-1.0]","0.90000","0.90000","1.00000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","CMR","FMLE","0.9 [0.9-1.0]","0.90000","0.90000","1.00000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","SWZ","FMLE","0.9 [0.9-1.0]","0.90000","0.90000","1.00000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","NGA","MLE","1.0 [0.9-1.0]","1.00000","0.90000","1.00000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","MOZ","BTSX","1.1 [1.0-1.2]","1.10000","1.00000","1.20000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","JPN","BTSX","1.1 [1.0-1.2]","1.10000","1.00000","1.20000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","SVK","FMLE","1.1 [1.0-1.2]","1.10000","1.00000","1.20000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","SEAR","BGD","MLE","1.2 [1.1-1.2]","1.20000","1.10000","1.20000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","MWI","BTSX","1.2 [1.1-1.3]","1.20000","1.10000","1.30000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AMR","ARG","FMLE","1.2 [1.1-1.3]","1.20000","1.10000","1.30000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","SEAR","MMR","MLE","1.3 [1.2-1.3]","1.30000","1.20000","1.30000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","LVA","FMLE","1.3 [1.2-1.4]","1.30000","1.20000","1.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","ROU","BTSX","1.3 [1.2-1.4]","1.30000","1.20000","1.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","FRA","FMLE","1.3 [1.2-1.4]","1.30000","1.20000","1.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","KGZ","FMLE","1.3 [1.3-1.4]","1.30000","1.30000","1.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","ISR","FMLE","1.3 [1.3-1.4]","1.30000","1.30000","1.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","AND","FMLE","1.4 [1.3-1.4]","1.40000","1.30000","1.40000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","BFA","MLE","1.4 [1.3-1.5]","1.40000","1.30000","1.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","COM","MLE","1.4 [1.3-1.5]","1.40000","1.30000","1.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","GMB","MLE","1.4 [1.3-1.5]","1.40000","1.30000","1.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","GHA","BTSX","1.4 [1.3-1.5]","1.40000","1.30000","1.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","KEN","BTSX","1.4 [1.3-1.5]","1.40000","1.30000","1.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","SEN","MLE","1.4 [1.3-1.5]","1.40000","1.30000","1.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","DZA","MLE","1.4 [1.3-1.5]","1.40000","1.30000","1.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AMR","CYP","FMLE","1.4 [1.3-1.5]","1.40000","1.30000","1.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","PRT","FMLE","1.4 [1.3-1.5]","1.40000","1.30000","1.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","CHE","FMLE","1.4 [1.3-1.5]","1.40000","1.30000","1.50000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","ETH","MLE","1.5 [1.4-1.6]","1.50000","1.40000","1.60000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","SEAR","MDV","MLE","1.5 [1.4-1.6]","1.50000","1.40000","1.60000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AMR","CRI","FMLE","1.5 [1.4-1.6]","1.50000","1.40000","1.60000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","CIV","FMLE","1.6 [1.5-1.7]","1.60000","1.50000","1.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","BEL","FMLE","1.6 [1.5-1.7]","1.60000","1.50000","1.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","DNK","FMLE","1.6 [1.5-1.7]","1.60000","1.50000","1.70000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","EUR","CUB","FMLE","1.7 [1.6-1.8]","1.70000","1.60000","1.80000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AMR","URY","FMLE","1.7 [1.6-1.8]","1.70000","1.60000","1.80000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","WPR","KOR","FMLE","1.7 [1.6-1.8]","1.70000","1.60000","1.80000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AMR","HTI","FMLE","1.8 [1.7-1.9]","1.80000","1.70000","1.90000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AMR","ECU","FMLE","1.8 [1.7-1.9]","1.80000","1.70000","1.90000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AMR","GTM","FMLE","1.8 [1.7-1.9]","1.80000","1.70000","1.90000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AFR","LSO","BTSX","1.8 [1.7-1.9]","1.80000","1.70000","1.90000",""
"SA_0000001461_ARCHIVED","PUBLISHED","2010","AMR","NIC","FMLE","1.8 [1.7-1.9]","1.80000","1.70000","1.90000",""
