"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SA_0000001475_ARCHIVED","SA_0000001475_AND","PUBLISHED","2014","EUR","AND","1.03","1.03000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AND","PUBLISHED","2013","EUR","AND","0.89","0.89000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2014","EUR","AUT","372.5","372.50000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2013","EUR","AUT","323.7","323.70000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2012","EUR","AUT","403.55","403.55000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2011","EUR","AUT","447.56","447.56000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2010","EUR","AUT","535.26","535.26000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2009","EUR","AUT","600.91","600.91000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2008","EUR","AUT","678.38","678.38000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2007","EUR","AUT","586.05","586.05000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2005","EUR","AUT","647.09","647.09000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2002","EUR","AUT","335.1","335.10000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2001","EUR","AUT","296.01","296.01000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_AUT","PUBLISHED","2000","EUR","AUT","316.49","316.49000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BDI","PUBLISHED","2005","AFR","BDI","34.15","34.15000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2014","EUR","BEL","738.27","738.27000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2013","EUR","BEL","689.8","689.80000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2012","EUR","BEL","799.49","799.49000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2011","EUR","BEL","897.91","897.91000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2010","EUR","BEL","761.42","761.42000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2009","EUR","BEL","853.57","853.57000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2008","EUR","BEL","950.62","950.62000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2007","EUR","BEL","813.9","813.90000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2006","EUR","BEL","749.57","749.57000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2005","EUR","BEL","695.66","695.66000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2004","EUR","BEL","723.39","723.39000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2003","EUR","BEL","716.63","716.63000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2002","EUR","BEL","575.31","575.31000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2001","EUR","BEL","572.93","572.93000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BEL","PUBLISHED","2000","EUR","BEL","570.96","570.96000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BFA","PUBLISHED","2006","AFR","BFA","1.89","1.89000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGD","PUBLISHED","2012","SEAR","BGD","7.45","7.45000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGD","PUBLISHED","2011","SEAR","BGD","7.63","7.63000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGD","PUBLISHED","2010","SEAR","BGD","7.86","7.86000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGD","PUBLISHED","2009","SEAR","BGD","7.06","7.06000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGD","PUBLISHED","2008","SEAR","BGD","5.26","5.26000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGD","PUBLISHED","2007","SEAR","BGD","4.61","4.61000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGD","PUBLISHED","2006","SEAR","BGD","4.03","4.03000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGR","PUBLISHED","2014","EUR","BGR","133.96","133.96000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGR","PUBLISHED","2013","EUR","BGR","135.36","135.36000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGR","PUBLISHED","2012","EUR","BGR","171.63","171.63000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGR","PUBLISHED","2011","EUR","BGR","193.18","193.18000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGR","PUBLISHED","2010","EUR","BGR","141.5","141.50000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGR","PUBLISHED","2009","EUR","BGR","123.38","123.38000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGR","PUBLISHED","2008","EUR","BGR","173.635","173.63500","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGR","PUBLISHED","2007","EUR","BGR","122.35","122.35000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGR","PUBLISHED","2006","EUR","BGR","101.45","101.45000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BOL","PUBLISHED","2006","AMR","BOL","58.64","58.64000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BRB","PUBLISHED","2007","AMR","BRB","2.63","2.63000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_BGD","PUBLISHED","2007","AMR","BRB","2.63","2.63000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_CAN","PUBLISHED","2013","AMR","CAN","5252.18","5252.18000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_CAN","PUBLISHED","2012","AMR","CAN","5365.04","5365.04000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_CAN","PUBLISHED","2011","AMR","CAN","5497.56","5497.56000","","",""
"SA_0000001475_ARCHIVED","SA_0000001475_CAN","PUBLISHED","2010","AMR","CAN","4835.72","4835.72000","","",""
