"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EMR","AFG","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","ALB","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","AND","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AFR","AGO","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AMR","ARG","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","AZE","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","SEAR","BGD","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AMR","BRB","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","BIH","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AFR","BWA","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AMR","BRA","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AFR","BFA","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AFR","BDI","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","WPR","KHM","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AFR","CAF","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AFR","TCD","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","WPR","CHN","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AFR","COG","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","WPR","COK","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","CYP","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","GRC","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AMR","GTM","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AMR","GUY","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","IRL","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","KAZ","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","WPR","LAO","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AMR","MEX","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","MCO","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","MNE","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","RUS","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AMR","LCA","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AMR","VCT","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","SMR","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","AFR","SWZ","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EMR","SYR","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","MKD","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EUR","UZB","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2008","WPR","VUT","Yes","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EMR","YEM","No","","","",""
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EMR","QAT","","","","","missing data"
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EMR","ARE","","","","","missing data"
"SA_0000001502_ARCHIVED","PUBLISHED","2012","WPR","MHL","","","","","missing data"
"SA_0000001502_ARCHIVED","PUBLISHED","2012","EMR","LBN","","","","","missing data"
