"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ADVERTISINGTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_SPIRITS_ADS","partial restriction content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","BTN","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","CMR","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_WINE_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","CIV","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","DOM","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","ECU","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","EST","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","GMB","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","GMB","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","GRD","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","IRN","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","IRQ","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","JPN","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","LBR","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MWI","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","MYS","SA_BEER_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MRT","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MRT","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","MNE","SA_WINE_ADS","partial restriction content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","NPL","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","NGA","SA_BEER_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","PLW","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","VCT","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","SYR","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","TJK","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","TZA","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","VEN","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_WINE_ADS","partial restriction content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","QAT","SA_BEER_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","MAR","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","AFG","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","ALB","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","AUT","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","BHS","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","BTN","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","CAN","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","CPV","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","TCD","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","CHL","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","HRV","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","CYP","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_BEER_ADS","partial restriction content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","ECU","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","GNQ","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","GEO","SA_SPIRITS_ADS","partial restriction time/place/content ","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","GRC","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","ISL","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","IDN","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","KAZ","SA_WINE_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","KIR","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","LTU","SA_BEER_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MDG","SA_WINE_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MWI","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","MUS","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","MCO","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","PAN","SA_SPIRITS_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","PER","SA_SPIRITS_ADS","partial restriction time/place","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","LCA","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","TTO","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EUR","TKM","SA_BEER_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","USA","SA_SPIRITS_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","NRU","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","WPR","NRU","SA_SPIRITS_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","ARE","SA_SPIRITS_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","KWT","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","LBN","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","HND","SA_WINE_ADS","","","","","missing data"
"SA_0000001512_ARCHIVED","PUBLISHED","2012","EMR","AFG","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","ATG","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","BGD","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","BLZ","SA_WINE_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","SEAR","BTN","SA_SPIRITS_ADS","ban","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_BEER_ADS","no restrictions","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","COL","SA_WINE_ADS","voluntary/self-restricted","","","",""
"SA_0000001512_ARCHIVED","PUBLISHED","2012","AMR","CRI","SA_BEER_ADS","partial restriction time/place/content ","","","",""
