"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AMR","WB_HI","ATG","SA_SPIRITS","10","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","NLD","SA_BEER","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","PRT","SA_BEER","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","AND","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_HI","COK","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","HRV","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","FRA","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","MCO","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_HI","NZL","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","SWE","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_HI","CHE","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","ERI","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_LI","KGZ","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LI","MMR","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LI","NPL","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_LI","TJK","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_LI","TJK","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LI","PRK","SA_WINE","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LI","BGD","SA_SPIRITS","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","GNB","SA_SPIRITS","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LI","LAO","SA_SPIRITS","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LMI","COG","SA_BEER","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LMI","COG","SA_SPIRITS","16","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_LMI","GEO","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LMI","LSO","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EUR","WB_LMI","MDA","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","SEAR","WB_LMI","THA","SA_SPIRITS","20","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LMI","IRQ","SA_SPIRITS","21","","","",""
