"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","BEVERAGETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","DZA","SA_500_POPULAR_BEER","1.52","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","DZA","SA_750_POPULAR_IMPORTED_SPIRITS","172.67","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","ARG","SA_750_POPULAR_IMPORTED_SPIRITS","22.09","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_750_TABLE_WINE","3.11","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","BHS","SA_750_POPULAR_LOCAL_SPIRITS","9.25","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","BIH","SA_750_TABLE_WINE","5.15","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","BGR","SA_750_POPULAR_LOCAL_SPIRITS","7.72","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","BFA","SA_500_POPULAR_BEER","0.94","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","CMR","SA_750_POPULAR_LOCAL_SPIRITS","1.44","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","CAN","SA_750_TABLE_WINE","16.63","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_750_TABLE_WINE","23.62","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_750_POPULAR_IMPORTED_SPIRITS","337.48","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","CRI","SA_750_TABLE_WINE","10.01","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_750_TABLE_WINE","2.38","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","DNK","SA_750_TABLE_WINE","5.92","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","DNK","SA_750_POPULAR_IMPORTED_SPIRITS","25.38","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","SLV","SA_500_POPULAR_BEER","0.76","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","FIN","SA_500_POPULAR_BEER","1.47","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","GTM","SA_500_POPULAR_BEER","2.15","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","GTM","SA_750_POPULAR_IMPORTED_SPIRITS","15.93","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","SEAR","IDN","SA_500_POPULAR_BEER","1.94","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","ITA","SA_750_TABLE_WINE","3.15","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_500_POPULAR_BEER","0.85","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_750_POPULAR_LOCAL_SPIRITS","3.17","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","LAO","SA_500_POPULAR_BEER","0.67","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","LBR","SA_750_TABLE_WINE","7.41","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","MWI","SA_750_POPULAR_LOCAL_SPIRITS","1.68","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","MYS","SA_500_POPULAR_BEER","1.68","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","SEAR","MMR","SA_500_POPULAR_BEER","1.18","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","SEAR","MMR","SA_750_POPULAR_LOCAL_SPIRITS","21.64","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","NGA","SA_750_POPULAR_IMPORTED_SPIRITS","14.09","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","PLW","SA_500_POPULAR_BEER","1.57","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","ROU","SA_750_TABLE_WINE","2.97","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","LCA","SA_750_TABLE_WINE","11.11","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","LCA","SA_750_POPULAR_IMPORTED_SPIRITS","25.93","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","STP","SA_750_POPULAR_IMPORTED_SPIRITS","8.86","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","SLE","SA_750_POPULAR_LOCAL_SPIRITS","1.71","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","ZAF","SA_750_POPULAR_LOCAL_SPIRITS","13.34","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","SEAR","THA","SA_750_TABLE_WINE","8.48","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","MKD","SA_500_POPULAR_BEER","1.22","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","TON","SA_500_POPULAR_BEER","2.41","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","TON","SA_750_POPULAR_IMPORTED_SPIRITS","30.27","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","UGA","SA_750_TABLE_WINE","24.19","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","UGA","SA_750_POPULAR_IMPORTED_SPIRITS","30.24","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","ZMB","SA_750_POPULAR_IMPORTED_SPIRITS","10.64","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","NER","SA_750_POPULAR_IMPORTED_SPIRITS","17.99","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","UKR","SA_750_POPULAR_LOCAL_SPIRITS","4.85","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","SLV","SA_750_TABLE_WINE","10","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","SLV","SA_750_POPULAR_IMPORTED_SPIRITS","9","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","MNE","SA_750_TABLE_WINE","1.7","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","NER","SA_500_POPULAR_BEER","1.1","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","SEAR","TLS","SA_750_POPULAR_LOCAL_SPIRITS","1.5","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","ZMB","SA_750_TABLE_WINE","5.8","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","HRV","SA_750_POPULAR_LOCAL_SPIRITS","8.45","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_500_POPULAR_BEER","1.09","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","SYC","SA_750_POPULAR_IMPORTED_SPIRITS","27.9","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","UKR","SA_500_POPULAR_BEER","0.5","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","ATG","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","AUT","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","BDI","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","KHM","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","FJI","SA_500_POPULAR_BEER","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","HND","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","IRQ","SA_500_POPULAR_BEER","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","KAZ","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","LBN","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","FSM","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","MCO","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","PAK","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","PNG","SA_750_POPULAR_LOCAL_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","SOM","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EMR","SDN","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","UZB","SA_750_TABLE_WINE","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","UZB","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","BRB","SA_750_POPULAR_IMPORTED_SPIRITS","","","","","missing data"
