"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001539","PUBLISHED","2016","EUR","ALB","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","TKM","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","SEAR","BTN","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","BFA","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","COM","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","CZE","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","DOM","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","GAB","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","GTM","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","ISL","","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","KAZ","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","EMR","LBN","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MWI","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","WPR","MNG","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","NLD","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EMR","OMN","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","WPR","KOR","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","VCT","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","SYC","","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","SVN","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","SUR","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","MKD","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","COM","SA_WINE","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","CIV","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","AGO","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","BWA","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","LSO","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MDG","SA_SPIRITS","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MWI","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MLI","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MRT","SA_BEER","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MOZ","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","SYC","SA_WINE","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","ZAF","SA_WINE","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","SWZ","SA_WINE","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","ARG","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","BRB","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","BLZ","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","BRA","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","CHL","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","LCA","SA_SPIRITS","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","EMR","AFG","SA_BEER","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","PER","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","SLV","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","GTM","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","JAM","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","URY","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","DZA","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","AGO","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","BHS","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","CHL","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","COL","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","COG","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","AUT","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","CYP","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","CIV","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","GRD","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","GIN","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","SEAR","IND","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","EMR","IRN","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MLI","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","UKR","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EMR","MAR","","partial restriction","","","",""
"SA_0000001539","PUBLISHED","2016","EUR","MDA","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AMR","LCA","","voluntary/self-restricted","","","",""
"SA_0000001539","PUBLISHED","2016","WPR","WSM","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","SEAR","THA","","ban","","","",""
"SA_0000001539","PUBLISHED","2016","SEAR","TLS","","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","CIV","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","CIV","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","DZA","SA_WINE","ban","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","AGO","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","COG","SA_SPIRITS","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","ETH","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","ERI","SA_BEER","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","LSO","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MWI","SA_WINE","no restriction","","","",""
"SA_0000001539","PUBLISHED","2016","AFR","MLI","SA_WINE","no restriction","","","",""
