"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","AGO","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","ATG","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","AZE","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","BHS","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","BEL","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","BEL","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","BIH","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","BWA","SA_WINE","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","BFA","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","DEU","SA_SPIRITS","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","GRC","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","GNB","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","IND","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","IND","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","ISR","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","LUX","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","MDG","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","MLI","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","FSM","SA_WINE","partial restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","MMR","SA_SPIRITS","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","NZL","SA_SPIRITS","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","NIC","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","PRY","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","RUS","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","RWA","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","SMR","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","TON","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","TTO","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","UGA","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","UKR","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","USA","SA_WINE","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","YEM","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","YEM","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","HTI","SA_WINE","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EMR","ARE","SA_SPIRITS","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","ALB","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","BGD","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","BGD","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","BEN","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","BTN","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","BTN","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","BRN","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","COD","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","GTM","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","HUN","SA_WINE","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","MRT","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","MUS","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","NPL","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","PLW","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","POL","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","MDA","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AMR","LCA","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","SRB","SA_BEER","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","SVK","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","ESP","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","CHE","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","CHE","SA_SPIRITS","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","TGO","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","TUR","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","TUR","SA_WINE","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","GBR","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","GBR","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","ZWE","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","WSM","SA_SPIRITS","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","SLB","SA_SPIRITS","","","","","missing data"
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","DZA","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","DZA","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","AUS","SA_BEER","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","BGD","SA_BEER","ban","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","SEAR","BTN","SA_BEER","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","AFR","COD","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","JPN","SA_WINE","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","JPN","SA_SPIRITS","no restriction","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","EUR","KGZ","SA_WINE","volunatry/self-regulated","","","",""
"SA_0000001539_ARCHIVED","PUBLISHED","2012","WPR","MYS","SA_BEER","no restriction","","","",""
