"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001547","","PUBLISHED","2010","EUR","AUT","SA_BEER","24","24.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","AUT","SA_SPIRITS","1000","1000.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","BGR","SA_BEER","9.2","9.20000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","HRV","SA_BEER","27.3","27.30000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","CYP","SA_SPIRITS","598.01","598.01000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","CZE","SA_SPIRITS","1145.59","1145.59000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","CZE","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","DNK","SA_WINE","172.7","172.70000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","EST","SA_WINE","66.5","66.50000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","FIN","SA_WINE","257","257.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","FIN","SA_BEER","129.8","129.80000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","FRA","SA_BEER","12.7","12.70000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","FRA","SA_SPIRITS","1513","1513.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","DEU","SA_SPIRITS","1303","1303.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","DEU","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","GRC","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","GRC","SA_BEER","31.2","31.20000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","HUN","SA_SPIRITS","984.38","984.38000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","IRL","SA_WINE","262.24","262.24000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","ITA","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","LVA","SA_WINE","63.45","63.45000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","LVA","SA_BEER","15.03","15.03000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","LTU","SA_BEER","11.82","11.82000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","MLT","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","NLD","SA_BEER","25.1","25.10000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","NOR","SA_BEER","250","250.00000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","POL","SA_SPIRITS","1466.6","1466.60000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","POL","SA_WINE","37.2","37.20000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","PRT","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","ROU","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","ROU","SA_BEER","8.9","8.90000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","SVK","SA_BEER","19.8","19.80000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","SVK","SA_SPIRITS","939.4","939.40000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","SVN","SA_SPIRITS","911","911.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","SVN","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","ESP","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","ESP","SA_BEER","9.96","9.96000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","SWE","SA_SPIRITS","5474.39","5474.39000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","CHE","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","BGR","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","HRV","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","FIN","SA_WINE","312","312.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","FRA","SA_SPIRITS","1660","1660.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","HUN","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","IRL","SA_BEER","75.41","75.41000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","LTU","SA_SPIRITS","1278.96","1278.96000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","LUX","SA_BEER","9.5","9.50000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","POL","SA_SPIRITS","1168.4","1168.40000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","POL","SA_WINE","38.48","38.48000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","SVN","SA_SPIRITS","1200","1200.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","GBR","SA_WINE","235","235.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","GBR","SA_SPIRITS","3118.89","3118.89000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","BEL","SA_BEER","20.53","20.53000","","",""
"SA_0000001547","","PUBLISHED","2013","EUR","AUT","SA_SPIRITS","1000","1000.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","AUT","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","HRV","SA_SPIRITS","844.01","844.01000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","HRV","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","DNK","SA_BEER","7.53","7.53000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","DNK","SA_SPIRITS","2015.13","2015.13000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","GRC","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","HUN","SA_BEER","5.22","5.22000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","ITA","SA_SPIRITS","1035.52","1035.52000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","LTU","SA_SPIRITS","1278.96","1278.96000","","",""
"SA_0000001547","","PUBLISHED","2015","EUR","LTU","SA_WINE","72.12","72.12000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","NOR","SA_SPIRITS","8587","8587.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","POL","SA_WINE","37.79","37.79000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","ESP","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","SWE","SA_BEER","21.33","21.33000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","TUR","SA_SPIRITS","4215","4215.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","GBR","SA_BEER","23.61","23.61000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","AUT","SA_BEER","24","24.00000","","",""
