"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","PUBLICPLACE","Display Value","Numeric","Low","High","Comments"
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","AGO","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","ERI","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","GMB","SA_EDUCATIONAL_BUILDINGS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","GMB","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","NER","SA_HEALTH_CARE_ESTABLISHMENTS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","MWI","SA_PUBLIC_TRANSPORT","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","NAM","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","SLE","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","SWZ","SA_WORKPLACES","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","BEN","SA_PUBLIC_TRANSPORT","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","BEN","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","BFA","SA_EDUCATIONAL_BUILDINGS","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","CIV","SA_EDUCATIONAL_BUILDINGS","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","CIV","SA_RELIGIOUS_PLACES","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","GIN","SA_RELIGIOUS_PLACES","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","MOZ","SA_RELIGIOUS_PLACES","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AFR","NAM","SA_EDUCATIONAL_BUILDINGS","voluntary/self-restricted","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","CAN","SA_PARKS_AND_STREETS","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","ECU","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","NIC","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","PRY","SA_GOVERNMENT_OFFICES","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","VEN","SA_PUBLIC_TRANSPORT","ban","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","GTM","SA_PUBLIC_TRANSPORT","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","GTM","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","VCT","SA_PARKS_AND_STREETS","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","TTO","SA_LEISURE_EVENTS","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","URY","SA_PUBLIC_TRANSPORT","no restrictions","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","KNA","SA_PARKS_AND_STREETS","partial restriction","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","AMR","KNA","SA_SPORTING_EVENTS","partial restriction","","","",""
"SA_0000001553_ARCHIVED","PUBLISHED","2012","EMR","LBY","SA_PUBLIC_TRANSPORT","","","","","missing data"
