"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AWARENESSACTIVITYTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","BEL","SA_ALCOHOLS_IMPACT_ON_HEALTH","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","BEL","SA_ILLEGAL_SURROGATE_ALCOHOL","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","HRV","SA_SOCIAL_HARMS","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","HRV","SA_INDIGENOUS_PEOPLE","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","HRV","SA_ALCOHOL_AT_WORK","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","CZE","SA_DRINK_DRIVING","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","CZE","SA_ILLEGAL_SURROGATE_ALCOHOL","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","EST","SA_DRINK_DRIVING","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","FIN","SA_ALCOHOLS_IMPACT_ON_HEALTH","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","DEU","SA_DRINK_DRIVING","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","DEU","SA_ALCOHOLS_IMPACT_ON_HEALTH","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","GRC","SA_ILLEGAL_SURROGATE_ALCOHOL","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","HUN","SA_ALCOHOL_AT_WORK","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","IRL","SA_ALCOHOLS_IMPACT_ON_HEALTH","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","IRL","SA_PREGNANCY_AND_ALCOHOL","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","LVA","SA_YOUNG_PEOPLES_DRINKING","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","LVA","SA_PREGNANCY_AND_ALCOHOL","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","LUX","SA_ILLEGAL_SURROGATE_ALCOHOL","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","LUX","SA_YOUNG_PEOPLES_DRINKING","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","LUX","SA_DRINK_DRIVING","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","NLD","SA_INDIGENOUS_PEOPLE","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","NLD","SA_ALCOHOL_AT_WORK","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","POL","SA_DRINK_DRIVING","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","POL","SA_INDIGENOUS_PEOPLE","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","ROU","SA_ALCOHOLS_IMPACT_ON_HEALTH","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","ROU","SA_ILLEGAL_SURROGATE_ALCOHOL","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","SVN","SA_PREGNANCY_AND_ALCOHOL","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","SVN","SA_ILLEGAL_SURROGATE_ALCOHOL","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","SWE","SA_ALCOHOLS_IMPACT_ON_HEALTH","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","CHE","SA_DRINK_DRIVING","yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","TUR","SA_ALCOHOL_AT_WORK","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2011","EUR","GBR","SA_INDIGENOUS_PEOPLE","no","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2012","AFR","COM","SA_ALCOHOLS_IMPACT_ON_HEALTH","Yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2012","AFR","KEN","SA_SOCIAL_HARMS","Yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2012","AFR","KEN","SA_ILLEGAL_SURROGATE_ALCOHOL","Yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2012","WPR","LAO","SA_INDIGENOUS_PEOPLE","No","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2012","AFR","MDG","SA_SOCIAL_HARMS","No","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2012","SEAR","NPL","SA_PREGNANCY_AND_ALCOHOL","Yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2012","AFR","SLE","SA_ALCOHOL_AT_WORK","No","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2012","AFR","TGO","SA_YOUNG_PEOPLES_DRINKING","Yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2012","AFR","TGO","SA_DRINK_DRIVING","Yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_DRINK_DRIVING","Yes","","","",""
"SA_0000001647_ARCHIVED","PUBLISHED","2012","WPR","VNM","SA_SOCIAL_HARMS","Yes","","","",""
