"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SA_0000001679","PUBLISHED","2000","EMR","AFG","0","","","",""
"SA_0000001679","PUBLISHED","2000","EUR","ALB","0","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","DZA","0","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","AGO","0","","","",""
"SA_0000001679","PUBLISHED","2000","AMR","ATG","2","","","",""
"SA_0000001679","PUBLISHED","2000","AMR","ARG","110","110.00000","","",""
"SA_0000001679","PUBLISHED","2000","EUR","ARM","1","","","",""
"SA_0000001679","PUBLISHED","2000","WPR","AUS","465","465.00000","","",""
"SA_0000001679","PUBLISHED","2000","EUR","AUT","604","604.00000","","",""
"SA_0000001679","PUBLISHED","2000","EUR","AZE","1","","","",""
"SA_0000001679","PUBLISHED","2000","AMR","BHS","5","","","",""
"SA_0000001679","PUBLISHED","2000","EMR","BHR","0","","","",""
"SA_0000001679","PUBLISHED","2000","SEAR","BGD","0","","","",""
"SA_0000001679","PUBLISHED","2000","AMR","BRB","1","","","",""
"SA_0000001679","PUBLISHED","2000","EUR","BLR","310","310.00000","","",""
"SA_0000001679","PUBLISHED","2000","EUR","BEL","5,474","5.47400","","",""
"SA_0000001679","PUBLISHED","2000","AMR","BLZ","1","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","BEN","0","","","",""
"SA_0000001679","PUBLISHED","2000","SEAR","BTN","0","","","",""
"SA_0000001679","PUBLISHED","2000","AMR","BOL","23","23.00000","","",""
"SA_0000001679","PUBLISHED","2000","EUR","BIH","13","13.00000","","",""
"SA_0000001679","PUBLISHED","2000","AFR","BWA","1","","","",""
"SA_0000001679","PUBLISHED","2000","AMR","BRA","450","450.00000","","",""
"SA_0000001679","PUBLISHED","2000","WPR","BRN","0","","","",""
"SA_0000001679","PUBLISHED","2000","EUR","BGR","3","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","BFA","0","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","BDI","1","","","",""
"SA_0000001679","PUBLISHED","2000","WPR","KHM","0","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","CMR","69","69.00000","","",""
"SA_0000001679","PUBLISHED","2000","AMR","CAN","3,936","3.93600","","",""
"SA_0000001679","PUBLISHED","2000","AFR","CPV","0","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","CAF","1","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","TCD","0","","","",""
"SA_0000001679","PUBLISHED","2000","AMR","CHL","50","50.00000","","",""
"SA_0000001679","PUBLISHED","2000","WPR","CHN","844","844.00000","","",""
"SA_0000001679","PUBLISHED","2000","AMR","COL","24","24.00000","","",""
"SA_0000001679","PUBLISHED","2000","AFR","COM","0","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","COG","0","","","",""
"SA_0000001679","PUBLISHED","2000","WPR","COK","0","","","",""
"SA_0000001679","PUBLISHED","2000","AMR","CRI","0","","","",""
"SA_0000001679","PUBLISHED","2000","EUR","HRV","233","233.00000","","",""
"SA_0000001679","PUBLISHED","2000","AMR","CUB","0","","","",""
"SA_0000001679","PUBLISHED","2000","EUR","CYP","39","39.00000","","",""
"SA_0000001679","PUBLISHED","2000","EUR","CZE","1,590","1.59000","","",""
"SA_0000001679","PUBLISHED","2000","SEAR","PRK","0","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","COD","0","","","",""
"SA_0000001679","PUBLISHED","2000","EUR","DNK","2,850","2.85000","","",""
"SA_0000001679","PUBLISHED","2000","EMR","DJI","0","","","",""
"SA_0000001679","PUBLISHED","2000","AMR","DMA","12","12.00000","","",""
"SA_0000001679","PUBLISHED","2000","AMR","DOM","70","70.00000","","",""
"SA_0000001679","PUBLISHED","2000","AMR","ECU","5","","","",""
"SA_0000001679","PUBLISHED","2000","EMR","EGY","20","20.00000","","",""
"SA_0000001679","PUBLISHED","2000","AMR","SLV","5","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","GNQ","0","","","",""
"SA_0000001679","PUBLISHED","2000","AFR","ERI","0","","","",""
"SA_0000001679","PUBLISHED","2000","EUR","EST","160","160.00000","","",""
"SA_0000001679","PUBLISHED","2000","AFR","ETH","0","","","",""
"SA_0000001679","PUBLISHED","2000","WPR","FJI","0","","","",""
