"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","COORDINATINGENTITIES","Display Value","Numeric","Low","High","Comments"
"SA_0000001691","PUBLISHED","2016","EUR","NOR","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","SVN","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","SWE","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","MNE","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","ARG","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","USA","","Health","","","",""
"SA_0000001691","PUBLISHED","2016","EMR","EGY","","Inter-Ministerial committee","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","SYC","","Social affairs","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","ALB","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AND","OTHER_COORDINATING_ENTITY","National Anti-Drug Committee","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AND","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","AGO","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","AGO","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","AUS","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AUT","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AUT","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","AUT","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","BGD","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","BGD","OTHER_COORDINATING_ENTITY","Home Affairs","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","BGD","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","BLR","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","BTN","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","SEAR","BTN","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","BWA","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AFR","BWA","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","BGR","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","KHM","HEALTH","Yes","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","KHM","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","WPR","KHM","AGRICULTURE","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","CHL","FINANCE_TAXATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","CHL","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","COL","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691","PUBLISHED","2016","AMR","COL","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CYP","EDUCATION","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CYP","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CZE","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691","PUBLISHED","2016","EUR","CZE","ROAD_SAFETY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EMR","DJI","TRADE_INDUSTRY","No","","","",""
"SA_0000001691","PUBLISHED","2016","EMR","EGY","HEALTH","No","","","",""
"SA_0000001691","PUBLISHED","2016","EMR","EGY","EMPLOYMENT","No","","","",""
"SA_0000001691","PUBLISHED","2016","EMR","EGY","AGRICULTURE","No","","","",""
