"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","COORDINATINGENTITIES","Display Value","Numeric","Low","High","Comments"
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","UZB","LAW_ENFORCEMENT","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","UZB","EMPLOYMENT","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","AMR","VEN","FINANCE_TAXATION","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","AMR","ARG","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","HRV","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","NLD","ROAD_SAFETY","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EMR","OMN","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","AMR","VEN","TRADE_INDUSTRY","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","AMR","USA","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","AMR","COL","ROAD_SAFETY","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","AFR","COG","EMPLOYMENT","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","HRV","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","FIN","OTHER_COORDINATING_ENTITY","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","IRL","AGRICULTURE","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","KAZ","HEALTH","Yes","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","WPR","MNG","EDUCATION","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EMR","PAK","LAW_ENFORCEMENT","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","ROU","AGRICULTURE","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","KAZ","LAW_ENFORCEMENT","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","LVA","TRADE_INDUSTRY","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","AMR","MEX","LAW_ENFORCEMENT","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","NOR","EDUCATION","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EMR","PAK","HEALTH","Yes","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","SVK","EDUCATION","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","ALB","FINANCE_TAXATION","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","ALB","LAW_ENFORCEMENT","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","AFR","DZA","OTHER_COORDINATING_ENTITY","Yes","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","AMR","BRA","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","AMR","COL","HEALTH","Yes","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","AMR","COL","SOCIAL_AFFAIRS","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","HRV","FINANCE_TAXATION","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","CZE","CRIMINAL_JUSTICE","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","CZE","ROAD_SAFETY","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","FIN","AGRICULTURE","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","ISL","HEALTH","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","SEAR","IDN","FINANCE_TAXATION","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","WPR","LAO","AGRICULTURE","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","LTU","FINANCE_TAXATION","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","PRT","AGRICULTURE","No","","","",""
"SA_0000001691_ARCHIVED","PUBLISHED","2012","EUR","SVN","CRIMINAL_JUSTICE","No","","","",""
