"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","POLICYADOPTIONLEVEL","Display Value","Numeric","Low","High","Comments"
"SA_0000001693_ARCHIVED","PUBLISHED","2012","EUR","ISL","NATIONAL_GOVERNMENT","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","EUR","NOR","NATIONAL_GOVERNMENT","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","AFR","BWA","OTHER_ADOPTION_LEVEL","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","AMR","BRA","NATIONAL_GOVERNMENT","Yes","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","SEAR","IDN","NATIONAL_GOVERNMENT","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","EUR","ROU","NATIONAL_PARLIAMENT","Yes","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","AFR","KEN","NATIONAL_PARLIAMENT","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","WPR","LAO","SPECIFIC_MINISTRY","Yes","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","WPR","NZL","SPECIFIC_MINISTRY","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","EUR","NOR","NATIONAL_PARLIAMENT","Yes","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","WPR","KOR","OTHER_ADOPTION_LEVEL","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","WPR","LAO","NATIONAL_GOVERNMENT","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","EUR","MDA","OTHER_ADOPTION_LEVEL","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","EUR","CHE","OTHER_ADOPTION_LEVEL","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","EUR","KAZ","OTHER_ADOPTION_LEVEL","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","EMR","OMN","SPECIFIC_MINISTRY","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","EUR","MKD","NATIONAL_PARLIAMENT","Yes","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","AFR","DZA","NATIONAL_GOVERNMENT","No","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","EMR","EGY","NATIONAL_PARLIAMENT","Yes","","","",""
"SA_0000001693_ARCHIVED","PUBLISHED","2012","EUR","FIN","OTHER_ADOPTION_LEVEL","No","","","",""
