"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","POLICYSECTOR","Display Value","Numeric","Low","High","Comments"
"SA_0000001694","PUBLISHED","2016","AFR","DZA","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","DZA","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","AGO","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","AGO","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","BWA","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","BWA","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","CPV","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","CPV","AGRICULTURE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","CIV","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","CIV","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","GNQ","EMPLOYMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","GNQ","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","MDG","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","MDG","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","MWI","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","MWI","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","SYC","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","SYC","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","ZAF","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","ZAF","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","BHS","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","BHS","EDUCATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","BRA","AGRICULTURE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","CHL","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","COL","JUSTICE","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","COL","FINANCE_TAXATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","MEX","TRADE_INDUSTRY","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","MEX","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","USA","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","USA","EDUCATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","DJI","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","EGY","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","LBN","FINANCE_TAXATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","LBN","EMPLOYMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ALB","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AND","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AUT","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AUT","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AZE","AGRICULTURE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","BLR","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","BGR","FINANCE_TAXATION","Yes","","","",""
