"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","POLICYSECTOR","Display Value","Numeric","Low","High","Comments"
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","DZA","EDUCATION","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","BHS","EDUCATION","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","BHS","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","BEL","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","BEL","JUSTICE","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","BWA","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","CIV","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","CYP","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","FRA","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","GRC","JUSTICE","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","SEAR","IDN","HEALTH_SECTOR","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","IRL","EDUCATION","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","WPR","JPN","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","WPR","LAO","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","LTU","JUSTICE","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","WPR","MNG","ROAD_SAFETY","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","NLD","AGRICULTURE","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","NOR","TRADE_INDUSTRY","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","PRT","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","ROU","ROAD_SAFETY","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","SVK","TRADE_INDUSTRY","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","ZAF","ROAD_SAFETY","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","ZAF","EDUCATION","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","CHE","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","TJK","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","USA","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","UZB","FINANCE_TAXATION","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","SMR","EMPLOYMENT","","","","","missing data"
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","ALB","EMPLOYMENT","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","WPR","AUS","AGRICULTURE","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","BEL","AGRICULTURE","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","BEL","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","CZE","ROAD_SAFETY","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","SEAR","IDN","TRADE_INDUSTRY","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","ISR","JUSTICE","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","KEN","TRADE_INDUSTRY","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","LTU","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","WPR","NZL","EMPLOYMENT","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","NOR","SOCIAL","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","PRY","SOCIAL","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","POL","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","SVK","JUSTICE","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","SMR","JUSTICE","","","","","missing data"
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","ESP","TRADE_INDUSTRY","","","","","missing data"
"SA_0000001694_ARCHIVED","PUBLISHED","2012","EUR","ALB","SOCIAL","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","DZA","SOCIAL","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AFR","DZA","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","ARG","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","WPR","AUS","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","BHS","SOCIAL","No","","","",""
"SA_0000001694_ARCHIVED","PUBLISHED","2012","AMR","BHS","TRADE_INDUSTRY","No","","","",""
