"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","MEASUREIMPORTANCETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001721","PUBLISHED","2012","EUR","ALB","SA_SERVER_TRAINING_VOLUNTARILY","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ALB","SA_SERVER_TRAINING_NEEDED","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ALB","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ALB","SA_MONITORING_THROUGH_TEST_PURCHASE","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ALB","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ALB","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AND","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AND","SA_SERVER_TRAINING_NEEDED","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AND","SA_LEGAL_ENFORCEMENT","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AND","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AND","SA_AWARENESS_CAMPAIGNS_YOUTH","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ARM","SA_SERVER_TRAINING_VOLUNTARILY","Not used  at  all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ARM","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ARM","SA_LEGAL_ENFORCEMENT","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ARM","SA_MONITORING_THROUGH_TEST_PURCHASE","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ARM","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ARM","SA_AWARENESS_CAMPAIGNS_YOUTH","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AUT","SA_SERVER_TRAINING_VOLUNTARILY","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AUT","SA_SERVER_TRAINING_NEEDED","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AUT","SA_LEGAL_ENFORCEMENT","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AUT","SA_MONITORING_THROUGH_TEST_PURCHASE","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AUT","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AUT","SA_AWARENESS_CAMPAIGNS_YOUTH","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AZE","SA_SERVER_TRAINING_VOLUNTARILY","Not used  at  all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AZE","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AZE","SA_LEGAL_ENFORCEMENT","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AZE","SA_MONITORING_THROUGH_TEST_PURCHASE","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AZE","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","AZE","SA_AWARENESS_CAMPAIGNS_YOUTH","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BLR","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BLR","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BLR","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BLR","SA_MONITORING_THROUGH_TEST_PURCHASE","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BLR","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BLR","SA_AWARENESS_CAMPAIGNS_YOUTH","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BEL","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BEL","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BEL","SA_LEGAL_ENFORCEMENT","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BEL","SA_MONITORING_THROUGH_TEST_PURCHASE","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BEL","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BEL","SA_AWARENESS_CAMPAIGNS_YOUTH","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BIH","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BIH","SA_SERVER_TRAINING_NEEDED","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BIH","SA_LEGAL_ENFORCEMENT","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BIH","SA_MONITORING_THROUGH_TEST_PURCHASE","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BIH","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BIH","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BGR","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BGR","SA_SERVER_TRAINING_NEEDED","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BGR","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BGR","SA_MONITORING_THROUGH_TEST_PURCHASE","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BGR","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","BGR","SA_AWARENESS_CAMPAIGNS_YOUTH","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","HRV","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","HRV","SA_SERVER_TRAINING_NEEDED","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","HRV","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","HRV","SA_MONITORING_THROUGH_TEST_PURCHASE","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","HRV","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","HRV","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CYP","SA_SERVER_TRAINING_VOLUNTARILY","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CYP","SA_SERVER_TRAINING_NEEDED","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CYP","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CYP","SA_MONITORING_THROUGH_TEST_PURCHASE","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CYP","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CYP","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CZE","SA_SERVER_TRAINING_VOLUNTARILY","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CZE","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CZE","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CZE","SA_MONITORING_THROUGH_TEST_PURCHASE","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CZE","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","CZE","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","DNK","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","DNK","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","DNK","SA_LEGAL_ENFORCEMENT","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","DNK","SA_MONITORING_THROUGH_TEST_PURCHASE","Not used at all","","","",""
