"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","COMMUNITYACTIONTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001722","PUBLISHED","2016","AFR","GNQ","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","MWI","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","MLI","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","MRT","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","ERI","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","ERI","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","GMB","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","GMB","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","KEN","SA_PROVISION_INFORMATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","LSO","SA_COMMUNITY_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","LSO","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","AGO","SA_PROVISION_INFORMATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","GHA","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","GHA","SA_COMMUNITY_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","KEN","SA_AT_RISK_GROUPS_TARGETED","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","AGO","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","BEN","SA_COMMUNITY_PROGRAMMES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","BEN","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","BDI","SA_PROVISION_INFORMATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","BDI","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","CPV","SA_DATADISSEMINATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","CMR","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","TCD","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","COM","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","COG","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","COG","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","GNQ","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","MWI","SA_PROVISION_INFORMATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","MOZ","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","NAM","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","NAM","SA_DATADISSEMINATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","NER","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","COL","SA_TECHNICAL_TOOLS","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","COL","SA_DATADISSEMINATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","CRI","SA_EARMARKED_FUNDS","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","CRI","SA_TRAINING_PROGRAMMES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","RWA","SA_RESEARCH_STUDIES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","STP","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","SEN","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","SEN","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","CHL","SA_RESEARCH_STUDIES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","ZAF","SA_TECHNICAL_TOOLS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","ZAF","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","SSD","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","SSD","SA_COMMUNITY_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","UGA","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","UGA","SA_PROVISION_INFORMATION","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","TZA","SA_TRAINING_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AFR","TZA","SA_COMMUNITY_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","ATG","SA_AT_RISK_GROUPS_TARGETED","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","ATG","SA_PROVISION_INFORMATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","ARG","SA_COMMUNITY_PROGRAMMES","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","ARG","SA_DATADISSEMINATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","BLZ","SA_PROVISION_INFORMATION","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","BLZ","SA_RESEARCH_STUDIES","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","BRA","SA_EARMARKED_FUNDS","No","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","DOM","SA_TECHNICAL_TOOLS","Yes","","","",""
"SA_0000001722","PUBLISHED","2016","AMR","ECU","SA_EARMARKED_FUNDS","No","","","",""
