"GHO","PUBLISHSTATE","YEAR","REGION","CONSUMPTIONTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001737_ARCHIVED","PUBLISHED","2010","EMR","CONSUMPTION_RECORDED","0.3","0.30000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","EMR","CONSUMPTION_UNRECORDED","0.4","0.40000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","EUR","CONSUMPTION_UNRECORDED","2.7","2.70000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","SEAR","CONSUMPTION_TOTAL","2.9","2.90000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","EUR","CONSUMPTION_TOTAL","10.9","10.90000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","AFR","CONSUMPTION_RECORDED","4.2","4.20000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","AFR","CONSUMPTION_RECORDED","4.3","4.30000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","EMR","CONSUMPTION_UNRECORDED","0.4","0.40000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","AMR","CONSUMPTION_UNRECORDED","2.0","2.00000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","GLOBAL","CONSUMPTION_RECORDED","4.6","4.60000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","AMR","CONSUMPTION_TOTAL","9.2","9.20000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","AMR","CONSUMPTION_UNRECORDED","1.2","1.20000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","AFR","CONSUMPTION_UNRECORDED","1.8","1.80000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","GLOBAL","CONSUMPTION_TOTAL","5.6","5.60000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","EUR","CONSUMPTION_TOTAL","9.1","9.10000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","GLOBAL","CONSUMPTION_RECORDED","4.7","4.70000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","SEAR","CONSUMPTION_RECORDED","1.4","1.40000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","SEAR","CONSUMPTION_UNRECORDED","1.6","1.60000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","GLOBAL","CONSUMPTION_UNRECORDED","1.7","1.70000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","AFR","CONSUMPTION_TOTAL","6.0","6.00000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","AMR","CONSUMPTION_RECORDED","7.2","7.20000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","WPR","CONSUMPTION_RECORDED","5.1","5.10000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","WPR","CONSUMPTION_TOTAL","5.4","5.40000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","AMR","CONSUMPTION_TOTAL","8.4","8.40000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","WPR","CONSUMPTION_UNRECORDED","1.6","1.60000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","WPR","CONSUMPTION_UNRECORDED","1.7","1.70000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","AFR","CONSUMPTION_TOTAL","6.2","6.20000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","WPR","CONSUMPTION_TOTAL","6.8","6.80000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","EMR","CONSUMPTION_TOTAL","0.7","0.70000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","EUR","CONSUMPTION_UNRECORDED","1.9","1.90000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","AMR","CONSUMPTION_RECORDED","7.2","7.20000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","GLOBAL","CONSUMPTION_TOTAL","6.2","6.20000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","WPR","CONSUMPTION_RECORDED","3.8","3.80000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","EMR","CONSUMPTION_TOTAL","0.7","0.70000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","SEAR","CONSUMPTION_UNRECORDED","1.5","1.50000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","SEAR","CONSUMPTION_RECORDED","1.8","1.80000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","AFR","CONSUMPTION_UNRECORDED","1.9","1.90000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","EUR","CONSUMPTION_RECORDED","9.0","9.00000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","GLOBAL","CONSUMPTION_UNRECORDED","1.5","1.50000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2010","SEAR","CONSUMPTION_TOTAL","3.5","3.50000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","EUR","CONSUMPTION_RECORDED","9.2","9.20000","","",""
"SA_0000001737_ARCHIVED","PUBLISHED","2005","EMR","CONSUMPTION_RECORDED","0.3","0.30000","","",""
