"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ARCHIVE","Display Value","Numeric","Low","High","Comments"
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","TCD","","0.4 [0.4-0.4]","0.40000","0.40000","0.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","COM","","0.1 [0.1-0.1]","0.10000","0.10000","0.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","MRT","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","MOZ","","1.3 [1.2-1.4]","1.30000","1.20000","1.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","YEM","","0.1 [0.1-0.1]","0.10000","0.10000","0.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","ALB","","4.9 [4.6-5.2]","4.90000","4.60000","5.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","ECU","","4.2 [3.9-4.5]","4.20000","3.90000","4.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","MNG","","4.9 [4.6-5.2]","4.90000","4.60000","5.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","MAR","","0.5 [0.5-0.5]","0.50000","0.50000","0.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","SWZ","","4.7 [4.4-5.0]","4.70000","4.40000","5.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","TLS","","0.1 [0.1-0.1]","0.10000","0.10000","0.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","COL","","4.2 [3.9-4.5]","4.20000","3.90000","4.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","CRI","","4.4 [4.1-4.7]","4.40000","4.10000","4.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","PLW","","6.9 [6.5-7.3]","6.90000","6.50000","7.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","PAN","","7.2 [6.8-7.6]","7.20000","6.80000","7.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","URY","","6.6 [6.2-7.0]","6.60000","6.20000","7.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","AND","","12.4 [11.6-13.2]","12.40000","11.60000","13.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","GNQ","","5.8 [5.4-6.2]","5.80000","5.40000","6.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","NZL","","9.3 [8.7-9.9]","9.30000","8.70000","9.90000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","NOR","","6.7 [6.3-7.1]","6.70000","6.30000","7.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","ARE","","2.8 [2.6-3.0]","2.80000","2.60000","3.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","COK","","5.9 [5.5-6.3]","5.90000","5.50000","6.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","KHM","","2.2 [2.1-2.3]","2.20000","2.10000","2.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","ERI","","0.5 [0.5-0.5]","0.50000","0.50000","0.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","MDG","","0.8 [0.8-0.8]","0.80000","0.80000","0.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","NER","","0.1 [0.1-0.1]","0.10000","0.10000","0.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","UGA","","8.3 [7.8-8.8]","8.30000","7.80000","8.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","BLZ","","6.8 [6.4-7.2]","6.80000","6.40000","7.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","CHN","","5.0 [4.7-5.3]","5.00000","4.70000","5.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","GEO","","5.4 [5.1-5.7]","5.40000","5.10000","5.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","MDV","","0.7 [0.7-0.7]","0.70000","0.70000","0.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","PAK","","0.0 [0.0-0.0]","0.00000","0.00000","0.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","STP","","4.2 [3.9-4.5]","4.20000","3.90000","4.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","UKR","","8.9 [8.3-9.5]","8.90000","8.30000","9.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","BRA","","7.2 [6.8-7.6]","7.20000","6.80000","7.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","MUS","","2.6 [2.4-2.8]","2.60000","2.40000","2.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","ROU","","10.4 [9.8-11.0]","10.40000","9.80000","11.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","ZAF","","8.2 [7.7-8.7]","8.20000","7.70000","8.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","BHS","","6.3 [5.9-6.7]","6.30000","5.90000","6.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","HRV","","10.2 [9.6-10.8]","10.20000","9.60000","10.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","FRA","","11.8 [11.1-12.5]","11.80000","11.10000","12.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EUR","MLT","","6.6 [6.2-7.0]","6.60000","6.20000","7.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","QAT","","0.9 [0.8-1.0]","0.90000","0.80000","1.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","SSD","","","","","","missing data"
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","PRK","","3.2 [3.0-3.4]","3.20000","3.00000","3.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","CAF","","1.8 [1.7-1.9]","1.80000","1.70000","1.90000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","MWI","","1.5 [1.4-1.6]","1.50000","1.40000","1.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","MLI","","0.6 [0.6-0.6]","0.60000","0.60000","0.60000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","ZMB","","2.5 [2.3-2.7]","2.50000","2.30000","2.70000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","ZWE","","4.7 [4.4-5.0]","4.70000","4.40000","5.00000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","CIV","","4.0 [3.8-4.2]","4.00000","3.80000","4.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","EGY","","0.2 [0.2-0.2]","0.20000","0.20000","0.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","SLV","","2.2 [2.1-2.3]","2.20000","2.10000","2.30000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","MHL","","","","","","missing data"
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","WPR","FSM","","2.3 [2.2-2.4]","2.30000","2.20000","2.40000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","EMR","SYR","","1.0 [0.9-1.1]","1.00000","0.90000","1.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","SEAR","THA","","6.4 [6.0-6.8]","6.40000","6.00000","6.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","CHL","","7.6 [7.1-8.1]","7.60000","7.10000","8.10000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","CUB","","4.2 [3.9-4.5]","4.20000","3.90000","4.50000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","MEX","","5.5 [5.2-5.8]","5.50000","5.20000","5.80000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AFR","NAM","","6.8 [6.4-7.2]","6.80000","6.40000","7.20000",""
"SA_0000001747_ARCHIVED","PUBLISHED","2008-2010","AMR","VEN","","7.7 [7.2-8.2]","7.70000","7.20000","8.20000",""
