"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","NATIONALSYSTEMTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001769","PUBLISHED","2016","EMR","AFG","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769","PUBLISHED","2016","EMR","AFG","SA_NST_ALCOHOLCONSUMPTION","No","","","",""
"SA_0000001769","PUBLISHED","2016","EMR","AFG","SA_NST_ALCOHOLPOLICYRESPONSES","No","","","",""
"SA_0000001769","PUBLISHED","2016","EMR","AFG","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769","PUBLISHED","2016","AFR","AGO","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769","PUBLISHED","2016","AFR","AGO","SA_NST_ALCOHOLPOLICYRESPONSES","No","","","",""
"SA_0000001769","PUBLISHED","2016","AFR","AGO","SA_NST_ALCOHOLCONSUMPTION","No","","","",""
"SA_0000001769","PUBLISHED","2016","AFR","AGO","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769","PUBLISHED","2016","EUR","ALB","SA_NST_ALCOHOLPOLICYRESPONSES","No","","","",""
"SA_0000001769","PUBLISHED","2016","EUR","ALB","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769","PUBLISHED","2016","EUR","ALB","SA_NST_ALCOHOLCONSUMPTION","No","","","",""
"SA_0000001769","PUBLISHED","2016","EUR","ALB","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769","PUBLISHED","2016","EUR","AND","SA_NST_HEALTHCONSEQUENCES","No","","","",""
"SA_0000001769","PUBLISHED","2016","EUR","AND","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769","PUBLISHED","2016","EUR","AND","SA_NST_ALCOHOLPOLICYRESPONSES","No","","","",""
"SA_0000001769","PUBLISHED","2016","EUR","AND","SA_NST_ALCOHOLCONSUMPTION","Yes","","","",""
"SA_0000001769","PUBLISHED","2016","EMR","ARE","SA_NST_SOCIALCONSEQUENCES","No data","","","",""
"SA_0000001769","PUBLISHED","2016","EMR","ARE","SA_NST_ALCOHOLCONSUMPTION","No data","","","",""
"SA_0000001769","PUBLISHED","2016","EMR","ARE","SA_NST_ALCOHOLPOLICYRESPONSES","No data","","","",""
"SA_0000001769","PUBLISHED","2016","EMR","ARE","SA_NST_HEALTHCONSEQUENCES","No data","","","",""
"SA_0000001769","PUBLISHED","2016","AMR","ARG","SA_NST_SOCIALCONSEQUENCES","No","","","",""
"SA_0000001769","PUBLISHED","2016","AMR","ARG","SA_NST_ALCOHOLPOLICYRESPONSES","Yes","","","",""
"SA_0000001769","PUBLISHED","2016","AMR","ARG","SA_NST_HEALTHCONSEQUENCES","Yes","","","",""
"SA_0000001769","PUBLISHED","2016","AMR","ARG","SA_NST_ALCOHOLCONSUMPTION","Yes","","","",""
