"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001783","SA_0000001783_HND","PUBLISHED","2005","AMR","HND","BTSX","11.7","11.70000","","",""
"SA_0000001783","SA_0000001783_SLV","PUBLISHED","2008","AMR","SLV","BTSX","13.8","13.80000","","",""
"SA_0000001783","SA_0000001783_ISL","PUBLISHED","2011","EUR","ISL","MLE","16.0","16.00000","","",""
"SA_0000001783","SA_0000001783_ISL","PUBLISHED","2011","EUR","ISL","BTSX","17.0","17.00000","","",""
"SA_0000001783","SA_0000001783_SLV","PUBLISHED","2003","AMR","SLV","BTSX","17.0","17.00000","","",""
"SA_0000001783","SA_0000001783_BOL","PUBLISHED","2008","AMR","BOL","BTSX","18.6","18.60000","","",""
"SA_0000001783","SA_0000001783_ISL","PUBLISHED","2011","EUR","ISL","FMLE","19.0","19.00000","","",""
"SA_0000001783","SA_0000001783_PAN","PUBLISHED","2008","EUR","PAN","BTSX","20.1","20.10000","","",""
"SA_0000001783","SA_0000001783_ARG","PUBLISHED","2011","AMR","ARG","BTSX","21.1","21.10000","","",""
"SA_0000001783","SA_0000001783_ARG","PUBLISHED","2009","AMR","ARG","BTSX","22.1","22.10000","","",""
"SA_0000001783","SA_0000001783_VEN","PUBLISHED","2009","AMR","VEN","BTSX","23.0","23.00000","","",""
"SA_0000001783","SA_0000001783_ALB","PUBLISHED","2011","EUR","ALB","FMLE","24.0","24.00000","","",""
"SA_0000001783","SA_0000001783_ARG","PUBLISHED","2007","AMR","ARG","BTSX","24.2","24.20000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2013","AMR","USA","BTSX","25.7","25.70000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2011","AMR","USA","FMLE","26.0","26.00000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2011","AMR","USA","BTSX","27.2","27.20000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2012","AMR","USA","BTSX","27.6","27.60000","","",""
"SA_0000001783","SA_0000001783_MNE","PUBLISHED","2011","EUR","MNE","FMLE","28.0","28.00000","","",""
"SA_0000001783","SA_0000001783_ISL","PUBLISHED","2007","EUR","ISL","MLE","28.0","28.00000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2011","AMR","USA","MLE","28.0","28.00000","","",""
"SA_0000001783","SA_0000001783_NIC","PUBLISHED","2003","AMR","NIC","BTSX","28.1","28.10000","","",""
"SA_0000001783","SA_0000001783_GTM","PUBLISHED","2003","AMR","GTM","BTSX","28.4","28.40000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2008","AMR","USA","BTSX","28.8","28.80000","","",""
"SA_0000001783","SA_0000001783_ARG","PUBLISHED","2005","AMR","ARG","BTSX","28.9","28.90000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2010","AMR","USA","BTSX","28.9","28.90000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2009","AMR","USA","BTSX","30.4","30.40000","","",""
"SA_0000001783","SA_0000001783_ISL","PUBLISHED","2007","EUR","ISL","BTSX","31.0","31.00000","","",""
"SA_0000001783","SA_0000001783_ARG","PUBLISHED","2001","AMR","ARG","BTSX","31.4","31.40000","","",""
"SA_0000001783","SA_0000001783_ALB","PUBLISHED","2011","EUR","ALB","BTSX","32.0","32.00000","","",""
"SA_0000001783","SA_0000001783_AUS","PUBLISHED","2011","WPR","AUS","FMLE","32.5","32.50000","","",""
"SA_0000001783","SA_0000001783_BIH","PUBLISHED","2011","EUR","BIH","FMLE","33.0","33.00000","","",""
"SA_0000001783","SA_0000001783_NOR","PUBLISHED","2011","EUR","NOR","MLE","33.0","33.00000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2005","AMR","USA","BTSX","33.2","33.20000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2007","AMR","USA","BTSX","33.4","33.40000","","",""
"SA_0000001783","SA_0000001783_AUS","PUBLISHED","2011","WPR","AUS","BTSX","33.6","33.60000","","",""
"SA_0000001783","SA_0000001783_ISR","PUBLISHED","2001","EUR","ISR","BTSX","33.7","33.70000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2006","AMR","USA","BTSX","33.8","33.80000","","",""
"SA_0000001783","SA_0000001783_SWE","PUBLISHED","2011","EUR","SWE","MLE","34.0","34.00000","","",""
"SA_0000001783","SA_0000001783_ISL","PUBLISHED","2003","EUR","ISL","MLE","34.0","34.00000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2011","AMR","CHL","MLE","34.6","34.60000","","",""
"SA_0000001783","SA_0000001783_AUS","PUBLISHED","2011","WPR","AUS","MLE","34.7","34.70000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2011","AMR","CHL","BTSX","34.7","34.70000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2011","AMR","CHL","FMLE","34.9","34.90000","","",""
"SA_0000001783","SA_0000001783_NOR","PUBLISHED","2011","EUR","NOR","BTSX","35.0","35.00000","","",""
"SA_0000001783","SA_0000001783_ISL","PUBLISHED","2007","EUR","ISL","FMLE","35.0","35.00000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2004","AMR","USA","BTSX","35.2","35.20000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2002","AMR","USA","BTSX","35.4","35.40000","","",""
"SA_0000001783","SA_0000001783_USA","PUBLISHED","2003","AMR","USA","BTSX","35.4","35.40000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2009","AMR","CHL","BTSX","35.5","35.50000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2009","AMR","CHL","FMLE","35.5","35.50000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2009","AMR","CHL","MLE","35.6","35.60000","","",""
"SA_0000001783","SA_0000001783_NOR","PUBLISHED","2011","EUR","NOR","FMLE","36.0","36.00000","","",""
"SA_0000001783","SA_0000001783_RUS","PUBLISHED","2011","EUR","RUS","BTSX","37.0","37.00000","","",""
"SA_0000001783","SA_0000001783_RUS","PUBLISHED","2011","EUR","RUS","MLE","37.0","37.00000","","",""
"SA_0000001783","SA_0000001783_RUS","PUBLISHED","2011","EUR","RUS","FMLE","37.0","37.00000","","",""
"SA_0000001783","SA_0000001783_ISL","PUBLISHED","2003","EUR","ISL","BTSX","37.0","37.00000","","",""
"SA_0000001783","SA_0000001783_ISR","PUBLISHED","2005","EUR","ISR","BTSX","37.2","37.20000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2001","AMR","CHL","FMLE","37.5","37.50000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2007","AMR","CHL","MLE","37.9","37.90000","","",""
"SA_0000001783","SA_0000001783_MNE","PUBLISHED","2011","EUR","MNE","BTSX","38.0","38.00000","","",""
"SA_0000001783","SA_0000001783_SWE","PUBLISHED","2011","EUR","SWE","BTSX","38.0","38.00000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2007","AMR","CHL","BTSX","38.1","38.10000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2003","AMR","CHL","FMLE","38.4","38.40000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2007","AMR","CHL","FMLE","38.4","38.40000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2003","AMR","CHL","BTSX","38.7","38.70000","","",""
"SA_0000001783","SA_0000001783_CHL","PUBLISHED","2001","AMR","CHL","BTSX","38.9","38.90000","","",""
"SA_0000001783","SA_0000001783_ISL","PUBLISHED","2003","EUR","ISL","FMLE","39.0","39.00000","","",""
"SA_0000001783","SA_0000001783_NOR","PUBLISHED","2007","EUR","NOR","MLE","39.0","39.00000","","",""
