"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SA_0000001784_ARCHIVED","SA_0000001784_USA","PUBLISHED","2010","AMR","USA","FMLE","9.0","9.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_SWE","PUBLISHED","2005","EUR","SWE","FMLE","9.0","9.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_CAN","PUBLISHED","2010","AMR","CAN","FMLE","13.0","13.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_FRA","PUBLISHED","2010","EUR","FRA","FMLE","13.0","13.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_CAN","PUBLISHED","2010","AMR","CAN","MLE","17.0","17.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_LTU","PUBLISHED","2010","EUR","LTU","FMLE","17.0","17.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_SVN","PUBLISHED","2010","EUR","SVN","FMLE","20.0","20.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_SVK","PUBLISHED","2005","EUR","SVK","FMLE","20.0","20.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_RUS","PUBLISHED","2005","EUR","RUS","FMLE","21.0","21.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_DEU","PUBLISHED","2005","EUR","DEU","MLE","25.0","25.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ESP","PUBLISHED","2005","EUR","ESP","FMLE","25.0","25.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_CHE","PUBLISHED","2005","EUR","CHE","MLE","27.0","27.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_DEU","PUBLISHED","2010","EUR","DEU","MLE","28.0","28.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_SVN","PUBLISHED","2010","EUR","SVN","MLE","33.0","33.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_GRC","PUBLISHED","2010","EUR","GRC","FMLE","34.0","34.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_HRV","PUBLISHED","2010","EUR","HRV","MLE","43.0","43.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_NLD","PUBLISHED","2005","EUR","NLD","MLE","43.0","43.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_NOR","PUBLISHED","2005","EUR","NOR","FMLE","10.0","10.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ISR","PUBLISHED","2010","EUR","ISR","FMLE","11.0","11.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_POL","PUBLISHED","2010","EUR","POL","FMLE","11.0","11.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_NOR","PUBLISHED","2005","EUR","NOR","MLE","11.0","11.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_MKD","PUBLISHED","2010","EUR","MKD","FMLE","12.0","12.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_POL","PUBLISHED","2010","EUR","POL","MLE","17.0","17.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_POL","PUBLISHED","2005","EUR","POL","MLE","17.0","17.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_PRT","PUBLISHED","2005","EUR","PRT","MLE","19.0","19.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_HUN","PUBLISHED","2010","EUR","HUN","FMLE","20.0","20.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_DNK","PUBLISHED","2010","EUR","DNK","MLE","26.0","26.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_LVA","PUBLISHED","2010","EUR","LVA","MLE","26.0","26.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_EST","PUBLISHED","2005","EUR","EST","MLE","27.0","27.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_RUS","PUBLISHED","2005","EUR","RUS","MLE","27.0","27.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ROU","PUBLISHED","2010","EUR","ROU","MLE","36.0","36.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_AUT","PUBLISHED","2010","EUR","AUT","MLE","37.0","37.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_CZE","PUBLISHED","2005","EUR","CZE","MLE","39.0","39.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_GBR","PUBLISHED","2005","EUR","GBR","MLE","40.7","40.70000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ISL","PUBLISHED","2010","EUR","ISL","FMLE","5.0","5.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_PRT","PUBLISHED","2005","EUR","PRT","FMLE","8.0","8.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_NOR","PUBLISHED","2010","EUR","NOR","MLE","11.0","11.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_PRT","PUBLISHED","2010","EUR","PRT","MLE","12.0","12.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_IRL","PUBLISHED","2010","EUR","IRL","MLE","13.0","13.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_SVK","PUBLISHED","2010","EUR","SVK","FMLE","16.0","16.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_EST","PUBLISHED","2005","EUR","EST","FMLE","17.0","17.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_LUX","PUBLISHED","2005","EUR","LUX","FMLE","19.0","19.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_ESP","PUBLISHED","2010","EUR","ESP","FMLE","22.0","22.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_FRA","PUBLISHED","2010","EUR","FRA","MLE","25.0","25.00000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_GBR","PUBLISHED","2010","EUR","GBR","FMLE","25.3","25.30000","","",""
"SA_0000001784_ARCHIVED","SA_0000001784_FRA","PUBLISHED","2005","EUR","FRA","MLE","27.0","27.00000","","",""
