"GHO","PUBLISHSTATE","YEAR","REGION","CONSUMPTIONTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001824","PUBLISHED","2010","AFR","CONSUMPTION_TOTAL","6.3","","","",""
"SA_0000001824","PUBLISHED","2010","AMR","CONSUMPTION_TOTAL","8.2","","","",""
"SA_0000001824","PUBLISHED","2010","EMR","CONSUMPTION_TOTAL","0.6","","","",""
"SA_0000001824","PUBLISHED","2010","EUR","CONSUMPTION_TOTAL","11.2","","","",""
"SA_0000001824","PUBLISHED","2010","SEAR","CONSUMPTION_TOTAL","3.5","","","",""
"SA_0000001824","PUBLISHED","2010","WPR","CONSUMPTION_TOTAL","7","","","",""
"SA_0000001824","PUBLISHED","2010","GLOBAL","CONSUMPTION_TOTAL","6.4","","","",""
"SA_0000001824","PUBLISHED","2010","AFR","CONSUMPTION_UNRECORDED","1.8","","","",""
"SA_0000001824","PUBLISHED","2010","AMR","CONSUMPTION_UNRECORDED","1.2","","","",""
"SA_0000001824","PUBLISHED","2010","EMR","CONSUMPTION_UNRECORDED","0.4","","","",""
"SA_0000001824","PUBLISHED","2010","EUR","CONSUMPTION_UNRECORDED","2.1","","","",""
"SA_0000001824","PUBLISHED","2010","SEAR","CONSUMPTION_UNRECORDED","1.3","","","",""
"SA_0000001824","PUBLISHED","2010","WPR","CONSUMPTION_UNRECORDED","1.6","","","",""
"SA_0000001824","PUBLISHED","2010","GLOBAL","CONSUMPTION_UNRECORDED","1.5","","","",""
"SA_0000001824","PUBLISHED","2010","AFR","CONSUMPTION_RECORDED","4.6","","","",""
"SA_0000001824","PUBLISHED","2010","AMR","CONSUMPTION_RECORDED","7.1","","","",""
"SA_0000001824","PUBLISHED","2010","EMR","CONSUMPTION_RECORDED","0.2","","","",""
"SA_0000001824","PUBLISHED","2010","EUR","CONSUMPTION_RECORDED","9.1","","","",""
"SA_0000001824","PUBLISHED","2010","SEAR","CONSUMPTION_RECORDED","2.2","","","",""
"SA_0000001824","PUBLISHED","2010","WPR","CONSUMPTION_RECORDED","5.4","","","",""
"SA_0000001824","PUBLISHED","2010","GLOBAL","CONSUMPTION_RECORDED","4.9","","","",""
"SA_0000001824","PUBLISHED","2016","AFR","CONSUMPTION_TOTAL","6.3","","","",""
"SA_0000001824","PUBLISHED","2016","AMR","CONSUMPTION_TOTAL","8","","","",""
"SA_0000001824","PUBLISHED","2016","EMR","CONSUMPTION_TOTAL","0.6","","","",""
"SA_0000001824","PUBLISHED","2016","EUR","CONSUMPTION_TOTAL","9.8","","","",""
"SA_0000001824","PUBLISHED","2016","SEAR","CONSUMPTION_TOTAL","4.5","","","",""
"SA_0000001824","PUBLISHED","2016","WPR","CONSUMPTION_TOTAL","7.3","","","",""
"SA_0000001824","PUBLISHED","2016","GLOBAL","CONSUMPTION_TOTAL","6.4","","","",""
"SA_0000001824","PUBLISHED","2016","AFR","CONSUMPTION_UNRECORDED","2","","","",""
"SA_0000001824","PUBLISHED","2016","AMR","CONSUMPTION_UNRECORDED","1.1","","","",""
"SA_0000001824","PUBLISHED","2016","EMR","CONSUMPTION_UNRECORDED","0.4","","","",""
"SA_0000001824","PUBLISHED","2016","EUR","CONSUMPTION_UNRECORDED","1.8","","","",""
"SA_0000001824","PUBLISHED","2016","SEAR","CONSUMPTION_UNRECORDED","2.1","","","",""
"SA_0000001824","PUBLISHED","2016","WPR","CONSUMPTION_UNRECORDED","1.6","","","",""
"SA_0000001824","PUBLISHED","2016","GLOBAL","CONSUMPTION_UNRECORDED","1.6","","","",""
"SA_0000001824","PUBLISHED","2016","AFR","CONSUMPTION_RECORDED","4.3","","","",""
"SA_0000001824","PUBLISHED","2016","AMR","CONSUMPTION_RECORDED","6.9","","","",""
"SA_0000001824","PUBLISHED","2016","EMR","CONSUMPTION_RECORDED","0.2","","","",""
"SA_0000001824","PUBLISHED","2016","EUR","CONSUMPTION_RECORDED","8","","","",""
"SA_0000001824","PUBLISHED","2016","SEAR","CONSUMPTION_RECORDED","2.5","","","",""
"SA_0000001824","PUBLISHED","2016","WPR","CONSUMPTION_RECORDED","5.7","","","",""
"SA_0000001824","PUBLISHED","2016","GLOBAL","CONSUMPTION_RECORDED","4.7","","","",""
