"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SA_0000001830","SA_0000001830_NAM","PUBLISHED","2016","AFR","NAM","4.64","4.64000","","",""
"SA_0000001830","SA_0000001830_ZWE","PUBLISHED","2016","AFR","ZWE","8.32","8.32000","","",""
"SA_0000001830","SA_0000001830_CRI","PUBLISHED","2016","AMR","CRI","11.74","11.74000","","",""
"SA_0000001830","SA_0000001830_GTM","PUBLISHED","2016","AMR","GTM","8.27","8.27000","","",""
"SA_0000001830","SA_0000001830_PAN","PUBLISHED","2016","AMR","PAN","8.14","8.14000","","",""
"SA_0000001830","SA_0000001830_MLT","PUBLISHED","2016","EUR","MLT","5.85","5.85000","","",""
"SA_0000001830","SA_0000001830_MDA","PUBLISHED","2016","EUR","MDA","2.24","2.24000","","",""
"SA_0000001830","SA_0000001830_ESP","PUBLISHED","2016","EUR","ESP","7.61","7.61000","","",""
"SA_0000001830","SA_0000001830_BTN","PUBLISHED","2016","SEAR","BTN","5.42","5.42000","","",""
"SA_0000001830","SA_0000001830_LKA","PUBLISHED","2016","SEAR","LKA","10.23","10.23000","","",""
"SA_0000001830","SA_0000001830_COK","PUBLISHED","2016","WPR","COK","10.64","10.64000","","",""
"SA_0000001830","SA_0000001830_GRC","PUBLISHED","2016","EUR","GRC","10.14","10.14000","","",""
"SA_0000001830","SA_0000001830_CZE","PUBLISHED","2016","EUR","CZE","4.33","4.33000","","",""
"SA_0000001830","SA_0000001830_AZE","PUBLISHED","2016","EUR","AZE","3.9","3.90000","","",""
"SA_0000001830","SA_0000001830_MWI","PUBLISHED","2016","AFR","MWI","14.59","14.59000","","",""
"SA_0000001830","SA_0000001830_TZA","PUBLISHED","2016","AFR","TZA","9.49","9.49000","","",""
"SA_0000001830","SA_0000001830_DMA","PUBLISHED","2016","AMR","DMA","9.64","9.64000","","",""
"SA_0000001830","SA_0000001830_ECU","PUBLISHED","2016","AMR","ECU","12.6","12.60000","","",""
"SA_0000001830","SA_0000001830_ISR","PUBLISHED","2016","EUR","ISR","10.91","10.91000","","",""
"SA_0000001830","SA_0000001830_KAZ","PUBLISHED","2016","EUR","KAZ","4.69","4.69000","","",""
"SA_0000001830","SA_0000001830_SVK","PUBLISHED","2016","EUR","SVK","7.78","7.78000","","",""
"SA_0000001830","SA_0000001830_MYS","PUBLISHED","2016","WPR","MYS","12.75","12.75000","","",""
"SA_0000001830","SA_0000001830_VNM","PUBLISHED","2016","WPR","VNM","11.74","11.74000","","",""
"SA_0000001830","SA_0000001830_HRV","PUBLISHED","2016","EUR","HRV","5.46","5.46000","","",""
"SA_0000001830","SA_0000001830_QAT","PUBLISHED","2016","EMR","QAT","20.75","20.75000","","",""
"SA_0000001830","SA_0000001830_OMN","PUBLISHED","2016","EMR","OMN","13.64","13.64000","","",""
"SA_0000001830","SA_0000001830_COG","PUBLISHED","2016","AFR","COG","13.91","13.91000","","",""
"SA_0000001830","SA_0000001830_MDG","PUBLISHED","2016","AFR","MDG","6.79","6.79000","","",""
"SA_0000001830","SA_0000001830_UGA","PUBLISHED","2016","AFR","UGA","8.29","8.29000","","",""
"SA_0000001830","SA_0000001830_ZMB","PUBLISHED","2016","AFR","ZMB","8.37","8.37000","","",""
"SA_0000001830","SA_0000001830_CUB","PUBLISHED","2016","AMR","CUB","4.2","4.20000","","",""
"SA_0000001830","SA_0000001830_DOM","PUBLISHED","2016","AMR","DOM","8.24","8.24000","","",""
"SA_0000001830","SA_0000001830_SLV","PUBLISHED","2016","AMR","SLV","10.51","10.51000","","",""
"SA_0000001830","SA_0000001830_SUR","PUBLISHED","2016","AMR","SUR","4.7","4.70000","","",""
"SA_0000001830","SA_0000001830_ITA","PUBLISHED","2016","EUR","ITA","8.45","8.45000","","",""
"SA_0000001830","SA_0000001830_SRB","PUBLISHED","2016","EUR","SRB","3.81","3.81000","","",""
"SA_0000001830","SA_0000001830_SVN","PUBLISHED","2016","EUR","SVN","8.45","8.45000","","",""
"SA_0000001830","SA_0000001830_IDN","PUBLISHED","2016","SEAR","IDN","23.08","23.08000","","",""
"SA_0000001830","SA_0000001830_MMR","PUBLISHED","2016","SEAR","MMR","15.76","15.76000","","",""
"SA_0000001830","SA_0000001830_MHL","PUBLISHED","2016","WPR","MHL","25.53","25.53000","","",""
"SA_0000001830","SA_0000001830_MNG","PUBLISHED","2016","WPR","MNG","8.43","8.43000","","",""
"SA_0000001830","SA_0000001830_BGR","PUBLISHED","2016","EUR","BGR","4.78","4.78000","","",""
"SA_0000001830","SA_0000001830_BEL","PUBLISHED","2016","EUR","BEL","8.18","8.18000","","",""
"SA_0000001830","SA_0000001830_MAR","PUBLISHED","2016","EMR","MAR","6.14","6.14000","","",""
"SA_0000001830","SA_0000001830_MOZ","PUBLISHED","2016","AFR","MOZ","6.34","6.34000","","",""
"SA_0000001830","SA_0000001830_SYC","PUBLISHED","2016","AFR","SYC","11.83","11.83000","","",""
"SA_0000001830","SA_0000001830_ZAF","PUBLISHED","2016","AFR","ZAF","3.34","3.34000","","",""
"SA_0000001830","SA_0000001830_GRD","PUBLISHED","2016","AMR","GRD","9.73","9.73000","","",""
"SA_0000001830","SA_0000001830_PRY","PUBLISHED","2016","AMR","PRY","4.62","4.62000","","",""
"SA_0000001830","SA_0000001830_SYR","PUBLISHED","2016","EMR","SYR","3.16","3.16000","","",""
