"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","SEX","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"SDGAIRBOD","PUBLISHED","2016","AFR","","AGO","MLE","ENVCAUSE039","44[ 36–52]","44.07725","35.59369","51.82876",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ALB","FMLE","ENVCAUSE039","5[ 3–7]","4.50959","2.67219","6.75094",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ALB","MLE","ENVCAUSE039","6[ 3–8]","5.54148","3.27885","8.23783",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","ARE","BTSX","ENVCAUSE039","1[ 1–2]","1.10363","0.79035","1.50687",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","ARE","FMLE","ENVCAUSE039","1[ 1–1]","1.01453","0.72308","1.39560",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","ARE","MLE","ENVCAUSE039","1[ 1–2]","1.13699","0.81554","1.54911",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","ARE","BTSX","ENVCAUSE114","3[ 3–4]","3.28521","2.73002","4.04767",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","ARE","FMLE","ENVCAUSE114","3[ 2–4]","2.88657","2.38611","3.62183",""
"SDGAIRBOD","PUBLISHED","2016","EMR","","ARE","MLE","ENVCAUSE114","3[ 3–4]","3.43448","2.85269","4.24167",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ARG","BTSX","ENVCAUSE039","10[ 4–18]","10.13754","4.27669","17.73043",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ARG","FMLE","ENVCAUSE039","11[ 5–19]","10.71387","4.60113","18.69662",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ARG","MLE","ENVCAUSE068","3[ 1–5]","2.83332","1.34041","4.84176",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ARG","BTSX","ENVCAUSE114","5[ 3–8]","4.55154","3.01638","7.69539",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ARG","FMLE","ENVCAUSE114","4[ 3–8]","4.43283","2.66149","8.27436",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ARG","MLE","ENVCAUSE114","5[ 3–7]","4.67546","3.25503","7.13478",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ARM","FMLE","ENVCAUSE068","3[ 2–5]","3.02066","1.71660","4.89172",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ARM","MLE","ENVCAUSE068","15[ 8–22]","14.81442","8.47890","22.48633",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ARM","BTSX","ENVCAUSE114","10[ 7–15]","10.11918","7.08617","14.80293",""
"SDGAIRBOD","PUBLISHED","2016","EUR","","ARM","FMLE","ENVCAUSE114","10[ 7–16]","10.20727","6.65837","15.94594",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ATG","MLE","ENVCAUSE113","15[ 12–19]","15.38318","11.95352","18.64666",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ATG","BTSX","ENVCAUSE068","1[ 0–1]","0.50035","0.27369","0.77684",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ATG","FMLE","ENVCAUSE068","0[ 0–1]","0.41473","0.22479","0.65000",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ATG","MLE","ENVCAUSE068","1[ 0–1]","0.59314","0.31926","0.91218",""
"SDGAIRBOD","PUBLISHED","2016","AMR","","ATG","BTSX","ENVCAUSE114","6[ 4–9]","6.25873","4.48565","8.96651",""
