"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SDGCONFLICT","PUBLISHED","2012-2016","GLOBAL","","2.5 [1.6-3.9]","2.50712","1.55718","3.87619",""
"SDGCONFLICT","PUBLISHED","2012-2016","AFR","","1.7 [1.2-2.6]","1.68859","1.22389","2.56773",""
"SDGCONFLICT","PUBLISHED","2012-2016","AMR","","0.4 [0.3-0.8]","0.43004","0.33224","0.80882",""
"SDGCONFLICT","PUBLISHED","2012-2016","SEAR","","0.1 [0.1-0.3]","0.12132","0.08819","0.28597",""
"SDGCONFLICT","PUBLISHED","2012-2016","EUR","","0.4 [0.3-0.6]","0.41623","0.26011","0.63139",""
"SDGCONFLICT","PUBLISHED","2012-2016","EMR","","24.1 [14.5-36.8]","24.07122","14.54286","36.79522",""
"SDGCONFLICT","PUBLISHED","2012-2016","WPR","","0.1 [0.1-0.2]","0.10687","0.07090","0.16316",""
"SDGCONFLICT","PUBLISHED","2012-2016","EMR","AFG","37.3 [31.2-77.1]","37.26146","31.21914","77.09516",""
"SDGCONFLICT","PUBLISHED","2012-2016","AFR","AGO","<0.1 [0.0-<0.1]","0.00742","0.00579","0.01717",""
"SDGCONFLICT","PUBLISHED","2012-2016","EUR","ALB","<0.1 [0.0-<0.1]","0.00684","0.00342","0.01027",""
"SDGCONFLICT","PUBLISHED","2012-2016","EMR","ARE","0","0.00000","0.00000","0.00000",""
"SDGCONFLICT","PUBLISHED","2012-2016","AMR","ARG","<0.1 [0.0-<0.1]","0.00225","0.00225","0.00225",""
"SDGCONFLICT","PUBLISHED","2012-2016","EUR","ARM","<0.1 [0.0-<0.1]","0.02066","0.01033","0.03098",""
"SDGCONFLICT","PUBLISHED","2012-2016","AMR","ATG","0","0.00000","0.00000","0.00000",""
"SDGCONFLICT","PUBLISHED","2012-2016","WPR","AUS","<0.1 [0.0-<0.1]","0.02862","0.02020","0.05187",""
"SDGCONFLICT","PUBLISHED","2012-2016","EUR","AUT","<0.1 [0.0-<0.1]","0.00539","0.00539","0.00539",""
"SDGCONFLICT","PUBLISHED","2012-2016","EUR","AZE","0.8 [0.5-1.3]","0.84006","0.52839","1.29489",""
"SDGCONFLICT","PUBLISHED","2012-2016","AFR","BDI","1.5 [1.0-2.2]","1.53225","1.03735","2.17332",""
"SDGCONFLICT","PUBLISHED","2012-2016","EUR","BEL","<0.1 [0.0-<0.1]","0.07308","0.03654","0.10962",""
"SDGCONFLICT","PUBLISHED","2012-2016","AFR","BEN","<0.1 [0.0-<0.1]","0.00000","0.00000","0.00000",""
