"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SDGDISASTER","PUBLISHED","2012-2016","EMR","AFG","MLE","0.8","0.77534","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EMR","AFG","FMLE","0.6","0.58210","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","AGO","MLE","<0.1","0.00795","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","AGO","FMLE","<0.1","0.00547","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","ALB","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","ALB","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EMR","ARE","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EMR","ARE","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","ARG","MLE","0.1","0.12784","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","ARG","FMLE","0.1","0.06279","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","ARM","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","ARM","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","ATG","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","ATG","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","WPR","AUS","MLE","0.1","0.05512","","",""
"SDGDISASTER","PUBLISHED","2012-2016","WPR","AUS","FMLE","<0.1","0.00939","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","AUT","MLE","0.3","0.32192","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","AUT","FMLE","<0.1","0.04899","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","AZE","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","AZE","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","BDI","MLE","0.2","0.22976","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","BDI","FMLE","0.2","0.15904","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","BEL","MLE","<0.1","0.00017","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","BEL","FMLE","<0.1","0.00029","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","BEN","MLE","<0.1","0.00909","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","BEN","FMLE","<0.1","0.00646","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","BFA","MLE","<0.1","0.02662","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","BFA","FMLE","<0.1","0.01888","","",""
"SDGDISASTER","PUBLISHED","2012-2016","SEAR","BGD","MLE","0.1","0.05861","","",""
"SDGDISASTER","PUBLISHED","2012-2016","SEAR","BGD","FMLE","<0.1","0.04289","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","BGR","MLE","0.2","0.16933","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","BGR","FMLE","<0.1","0.02050","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EMR","BHR","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EMR","BHR","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","BHS","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","BHS","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","BIH","MLE","0.2","0.16607","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","BIH","FMLE","0.1","0.11464","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","BLR","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","BLR","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","BLZ","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","BLZ","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","BOL","MLE","0.4","0.43359","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","BOL","FMLE","0.3","0.30463","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","BRA","MLE","0.1","0.10618","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","BRA","FMLE","<0.1","0.02677","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","BRB","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","BRB","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","WPR","BRN","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","WPR","BRN","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","SEAR","BTN","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","SEAR","BTN","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","BWA","MLE","0.1","0.13047","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","BWA","FMLE","0.1","0.09127","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","CAF","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","CAF","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","CAN","MLE","<0.1","0.01165","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","CAN","FMLE","<0.1","0.00421","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","CHE","MLE","0.3","0.25267","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","CHE","FMLE","0.1","0.05140","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","CHL","MLE","0.2","0.19416","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","CHL","FMLE","0.1","0.06265","","",""
"SDGDISASTER","PUBLISHED","2012-2016","WPR","CHN","MLE","0.1","0.05928","","",""
"SDGDISASTER","PUBLISHED","2012-2016","WPR","CHN","FMLE","<0.1","0.04423","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","CIV","MLE","<0.1","0.03969","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","CIV","FMLE","<0.1","0.02934","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","CMR","MLE","<0.1","0.02618","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","CMR","FMLE","<0.1","0.01876","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","COD","MLE","<0.1","0.01307","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","COD","FMLE","<0.1","0.00917","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","COG","MLE","0.1","0.09080","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","COG","FMLE","0.1","0.06507","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","COL","MLE","0.5","0.51424","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","COL","FMLE","0.1","0.12774","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","COM","MLE","0.1","0.12172","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","COM","FMLE","0.1","0.08865","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","CPV","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","CPV","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","CRI","MLE","0.2","0.16185","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","CRI","FMLE","<0.1","0.02788","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","CUB","MLE","0.5","0.54785","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","CUB","FMLE","0.1","0.12384","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","CYP","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","CYP","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","CZE","MLE","<0.1","0.02187","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","CZE","FMLE","<0.1","0.00902","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","DEU","MLE","<0.1","0.00751","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","DEU","FMLE","<0.1","0.00695","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EMR","DJI","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EMR","DJI","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","DNK","MLE","<0.1","0.00246","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","DNK","FMLE","<0.1","0.00038","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","DOM","MLE","<0.1","0.01121","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","DOM","FMLE","<0.1","0.00803","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","DZA","MLE","<0.1","0.04436","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","DZA","FMLE","<0.1","0.03225","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","ECU","MLE","0.7","0.69197","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","ECU","FMLE","0.4","0.42224","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EMR","EGY","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EMR","EGY","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","ERI","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","ERI","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","ESP","MLE","<0.1","0.01877","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","ESP","FMLE","<0.1","0.01124","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","EST","MLE","0.1","0.11486","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","EST","FMLE","<0.1","0.00307","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","ETH","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","ETH","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","FIN","MLE","0.1","0.05721","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","FIN","FMLE","<0.1","0.00351","","",""
"SDGDISASTER","PUBLISHED","2012-2016","WPR","FJI","MLE","0.4","0.43928","","",""
"SDGDISASTER","PUBLISHED","2012-2016","WPR","FJI","FMLE","0.3","0.32619","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","FRA","MLE","<0.1","0.03594","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","FRA","FMLE","<0.1","0.00723","","",""
"SDGDISASTER","PUBLISHED","2012-2016","WPR","FSM","MLE","1.5","1.52658","","",""
"SDGDISASTER","PUBLISHED","2012-2016","WPR","FSM","FMLE","1.2","1.15386","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GAB","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GAB","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","GBR","MLE","<0.1","0.01523","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","GBR","FMLE","<0.1","0.00681","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","GEO","MLE","0.2","0.15258","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","GEO","FMLE","0.1","0.09959","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GHA","MLE","0.2","0.20006","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GHA","FMLE","0.1","0.14147","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GIN","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GIN","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GMB","MLE","<0.1","0.02454","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GMB","FMLE","<0.1","0.01722","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GNB","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GNB","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GNQ","MLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AFR","GNQ","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","GRC","MLE","0.3","0.25792","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","GRC","FMLE","0.1","0.13126","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","GRD","MLE","0.4","0.37508","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","GRD","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","GTM","MLE","0.3","0.28688","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","GTM","FMLE","0.1","0.08349","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","GUY","MLE","<0.1","0.03222","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","GUY","FMLE","0","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","HND","MLE","<0.1","0.01062","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","HND","FMLE","<0.1","0.00756","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","HRV","MLE","0.1","0.05041","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","HRV","FMLE","<0.1","0.02774","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","HTI","MLE","1.5","1.54335","","",""
"SDGDISASTER","PUBLISHED","2012-2016","AMR","HTI","FMLE","1.1","1.08784","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","HUN","MLE","<0.1","0.02093","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","HUN","FMLE","<0.1","0.00219","","",""
"SDGDISASTER","PUBLISHED","2012-2016","SEAR","IDN","MLE","0.1","0.05646","","",""
"SDGDISASTER","PUBLISHED","2012-2016","SEAR","IDN","FMLE","<0.1","0.03970","","",""
"SDGDISASTER","PUBLISHED","2012-2016","SEAR","IND","MLE","0.2","0.17661","","",""
"SDGDISASTER","PUBLISHED","2012-2016","SEAR","IND","FMLE","0.2","0.15990","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","IRL","MLE","<0.1","0.00907","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EUR","IRL","FMLE","<0.1","0.00000","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EMR","IRN","MLE","0.1","0.12069","","",""
"SDGDISASTER","PUBLISHED","2012-2016","EMR","IRN","FMLE","0.1","0.08367","","",""
