"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AFR","BDI","0","0.00000","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2013","AFR","BDI","0","0.00000","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AFR","BFA","0","0.00000","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AMR","BOL","23.1","23.07692","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AMR","CHL","36.4","36.36364","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AFR","COG","0","0.00000","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AMR","COL","8.3","8.33333","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2008","AMR","COL","88.8","88.76405","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AMR","ECU","50","50.00000","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AFR","GHA","12.5","12.50000","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AFR","GIN","12.5","12.50000","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2011","AMR","HTI","0","0.00000","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2010","SEAR","IDN","14.6","14.64968","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2004","SEAR","IDN","36.9","36.90476","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","EUR","KGZ","0","0.00000","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2015","EUR","KGZ","0","0.00000","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2010","EUR","KGZ","0","0.00000","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2005","EUR","KGZ","0","0.00000","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2013","WPR","LAO","25.3","25.27473","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2013","EMR","LBN","52.5","52.45901","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2004","EMR","LBN","50","50.00000","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2019","EUR","MDA","21.7","21.67000","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AFR","MLI","0","0.00000","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2012","WPR","MNG","26.7","26.74419","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2004","WPR","MNG","9.1","9.09091","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2008","AFR","MUS","26.2","26.22951","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AMR","PER","69.2","69.23077","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2013","EMR","SDN","41","41.00000","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2012","EMR","SDN","34.5","34.48276","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AFR","SEN","7.7","7.69231","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2013","EUR","TJK","15","15.00000","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2004","EUR","TJK","0","0.00000","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AMR","TTO","0","0.00000","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AFR","TZA","0","0.00000","","","* data from only capital city "
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2012","AFR","TZA","19","18.96552","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2004","AFR","TZA","27.9","27.92793","","",""
"SDGHEALTHFACILITIESESSENTIALMEDS","PUBLISHED","2016","AFR","ZMB","16.7","16.66667","","","* data from only capital city "
