"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SDGHEPHBSAGPRV","PUBLISHED","2015","EMR","AFG","0.50 [0.29-0.78]","0.50000","0.29000","0.78000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","SEAR","BGD","1.38 [0.97-1.91]","1.38000","0.97000","1.91000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","AMR","BRB","0.34 [0.02-4.81]","0.34000","0.02000","4.81000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","EUR","BLR","0.20 [0.03-1.53]","0.20000","0.03000","1.53000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","EUR","BEL","0.18 [0.10-0.29]","0.18000","0.10000","0.29000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","AMR","BLZ","1.49 [0.98-2.21]","1.49000","0.98000","2.21000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","AFR","CMR","1.90 [1.34-2.61]","1.90000","1.34000","2.61000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","AMR","CAN","1.03 [0.72-1.42]","1.03000","0.72000","1.42000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","AFR","CAF","6.62 [5.12-8.62]","6.62000","5.12000","8.62000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","AFR","TCD","3.08 [0.29-26.20]","3.08000","0.29000","26.20000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","EUR","DNK","0.79 [0.57-1.06]","0.79000","0.57000","1.06000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","EMR","DJI","0.64 [0.07-5.19]","0.64000","0.07000","5.19000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","AMR","DMA","0.39 [0.04-2.66]","0.39000","0.04000","2.66000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","AMR","DOM","0.34 [0.03-3.33]","0.34000","0.03000","3.33000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","EUR","GEO","0.26 [0.16-0.42]","0.26000","0.16000","0.42000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","EUR","DEU","0.24 [0.15-0.37]","0.24000","0.15000","0.37000",""
"SDGHEPHBSAGPRV","PUBLISHED","2015","AFR","GHA","3.61 [2.50-5.00]","3.61000","2.50000","5.00000",""
