"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SDGHIV","PUBLISHED","1990","AFR","DZA","BTSX","<0.01 [<0.01–0.02]","","","0.02000",""
"SDGHIV","PUBLISHED","1990","AMR","ARG","BTSX","0.13 [0.1–0.17]","0.13000","0.10000","0.17000",""
"SDGHIV","PUBLISHED","1990","AMR","BHS","BTSX","No data","","","",""
"SDGHIV","PUBLISHED","1990","SEAR","BGD","BTSX","No data","","","",""
"SDGHIV","PUBLISHED","1990","AMR","BOL","BTSX","0.3 [0.15–0.49]","0.30000","0.15000","0.49000",""
"SDGHIV","PUBLISHED","1990","AFR","BWA","BTSX","12.16 [10.59–13.97]","12.16000","10.59000","13.97000",""
"SDGHIV","PUBLISHED","1990","AFR","CMR","BTSX","1.15 [0.84–1.45]","1.15000","0.84000","1.45000",""
"SDGHIV","PUBLISHED","1990","AFR","CPV","BTSX","0.52 [0.3–0.99]","0.52000","0.30000","0.99000",""
"SDGHIV","PUBLISHED","1990","AMR","COL","BTSX","0.25 [0.09–1.24]","0.25000","0.09000","1.24000",""
"SDGHIV","PUBLISHED","1990","AFR","COG","BTSX","4.57 [3.42–6.34]","4.57000","3.42000","6.34000",""
"SDGHIV","PUBLISHED","1990","SEAR","PRK","BTSX","No data","","","",""
"SDGHIV","PUBLISHED","1990","EUR","DNK","BTSX","No data","","","",""
"SDGHIV","PUBLISHED","1990","AFR","ERI","BTSX","1.12 [0.54–1.86]","1.12000","0.54000","1.86000",""
"SDGHIV","PUBLISHED","1990","AFR","SWZ","BTSX","3.28 [2.38–4.55]","3.28000","2.38000","4.55000",""
"SDGHIV","PUBLISHED","1990","AFR","GAB","BTSX","1.55 [0.82–2.53]","1.55000","0.82000","2.53000",""
"SDGHIV","PUBLISHED","1990","EUR","GEO","BTSX","No data","","","",""
"SDGHIV","PUBLISHED","1990","AFR","GHA","BTSX","1.66 [1.13–2.27]","1.66000","1.13000","2.27000",""
"SDGHIV","PUBLISHED","1990","AMR","GUY","BTSX","0.05 [0.02–0.09]","0.05000","0.02000","0.09000",""
"SDGHIV","PUBLISHED","1990","AMR","HND","BTSX","0.78 [0.56–1.13]","0.78000","0.56000","1.13000",""
"SDGHIV","PUBLISHED","1990","EUR","ISR","BTSX","No data","","","",""
"SDGHIV","PUBLISHED","1990","AMR","JAM","BTSX","1.07 [0.41–3.93]","1.07000","0.41000","3.93000",""
"SDGHIV","PUBLISHED","1990","EMR","KWT","BTSX","No data","","","",""
"SDGHIV","PUBLISHED","1990","WPR","LAO","BTSX","<0.01 [<0.01–<0.01]","","","",""
"SDGHIV","PUBLISHED","1990","EMR","LBN","BTSX","0.02 [<0.01–0.03]","0.02000","","0.03000",""
"SDGHIV","PUBLISHED","1990","EUR","LUX","BTSX","No data","","","",""
"SDGHIV","PUBLISHED","1990","AFR","MWI","BTSX","10.99 [9.7–12.73]","10.99000","9.70000","12.73000",""
"SDGHIV","PUBLISHED","1990","AMR","MEX","BTSX","No data","","","",""
"SDGHIV","PUBLISHED","1990","EUR","MNE","BTSX","<0.01 [<0.01–<0.01]","","","",""
"SDGHIV","PUBLISHED","1990","WPR","NZL","BTSX","0.03 [0.02–0.03]","0.03000","0.02000","0.03000",""
"SDGHIV","PUBLISHED","1990","AFR","NER","BTSX","0.28 [0.22–0.35]","0.28000","0.22000","0.35000",""
"SDGHIV","PUBLISHED","1990","EMR","PAK","BTSX","<0.01 [<0.01–<0.01]","","","",""
"SDGHIV","PUBLISHED","1990","WPR","PNG","BTSX","0.01 [<0.01–0.02]","0.01000","","0.02000",""
"SDGHIV","PUBLISHED","1990","WPR","KOR","BTSX","No data","","","",""
