"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"SDGHPVRECEIVED","PUBLISHED","2018","EMR","ARE","FMLE","26","26.20000","","","It accounts for vaccines administered at subnational level (Abu Dhabi) at school grade 11"
"SDGHPVRECEIVED","PUBLISHED","2018","AMR","ARG","FMLE","57","57.10000","","",""
"SDGHPVRECEIVED","PUBLISHED","2017","AMR","ARG","FMLE","48","48.10000","","",""
"SDGHPVRECEIVED","PUBLISHED","2016","AMR","ARG","FMLE","55","55.20000","","",""
"SDGHPVRECEIVED","PUBLISHED","2015","AMR","ARG","FMLE","48","47.80000","","",""
"SDGHPVRECEIVED","PUBLISHED","2014","AMR","ARG","FMLE","54","53.60000","","",""
"SDGHPVRECEIVED","PUBLISHED","2013","AMR","ARG","FMLE","56","56.20000","","",""
"SDGHPVRECEIVED","PUBLISHED","2012","AMR","ARG","FMLE","37","37.00000","","",""
"SDGHPVRECEIVED","PUBLISHED","2018","EUR","ARM","FMLE","2","2.00000","","",""
"SDGHPVRECEIVED","PUBLISHED","2018","WPR","AUS","FMLE","80","80.20000","","","Estimate extrapolated from 2017"
"SDGHPVRECEIVED","PUBLISHED","2017","WPR","AUS","FMLE","80","80.20000","","","Proxy estimate based on estimated coverage by age 15."
"SDGHPVRECEIVED","PUBLISHED","2016","WPR","AUS","FMLE","80","79.70000","","","Proxy estimate based on estimated coverage by age 15."
"SDGHPVRECEIVED","PUBLISHED","2015","WPR","AUS","FMLE","79","78.70000","","","Proxy estimate based on estimated coverage by age 15."
"SDGHPVRECEIVED","PUBLISHED","2014","WPR","AUS","FMLE","75","74.80000","","","Proxy estimate based on estimated coverage by age 15."
"SDGHPVRECEIVED","PUBLISHED","2013","WPR","AUS","FMLE","72","72.10000","","","Proxy estimate based on estimated coverage by age 15."
"SDGHPVRECEIVED","PUBLISHED","2012","WPR","AUS","FMLE","72","71.90000","","","Proxy estimate based on estimated coverage by age 15."
"SDGHPVRECEIVED","PUBLISHED","2018","EUR","BEL","FMLE","67","66.80000","","","Estimate extrapolated from 2016"
