"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SDGMALARIA","PUBLISHED","2000","AFR","AGO","324.44","324.44030","","",""
"SDGMALARIA","PUBLISHED","2001","AFR","AGO","328.28","328.27560","","",""
"SDGMALARIA","PUBLISHED","2002","AFR","AGO","312.3","312.30250","","",""
"SDGMALARIA","PUBLISHED","2003","AFR","AGO","315.35","315.34730","","",""
"SDGMALARIA","PUBLISHED","2004","AFR","AGO","319.66","319.66280","","",""
"SDGMALARIA","PUBLISHED","2005","AFR","AGO","323.69","323.68610","","",""
"SDGMALARIA","PUBLISHED","2006","AFR","AGO","313.81","313.80560","","",""
"SDGMALARIA","PUBLISHED","2007","AFR","AGO","286.72","286.71600","","",""
"SDGMALARIA","PUBLISHED","2008","AFR","AGO","241.19","241.18580","","",""
"SDGMALARIA","PUBLISHED","2009","AFR","AGO","204.35","204.34990","","",""
"SDGMALARIA","PUBLISHED","2010","AFR","AGO","185.52","185.51550","","",""
"SDGMALARIA","PUBLISHED","2011","AFR","AGO","175.99","175.98890","","",""
"SDGMALARIA","PUBLISHED","2012","AFR","AGO","174.43","174.43460","","",""
"SDGMALARIA","PUBLISHED","2013","AFR","AGO","180.9","180.90270","","",""
"SDGMALARIA","PUBLISHED","2014","AFR","AGO","187.94","187.94320","","",""
"SDGMALARIA","PUBLISHED","2015","AFR","AGO","199.99","199.99200","","",""
"SDGMALARIA","PUBLISHED","2016","AFR","AGO","219.99","219.99200","","",""
"SDGMALARIA","PUBLISHED","2017","AFR","AGO","228.91","228.90890","","",""
"SDGMALARIA","PUBLISHED","2018","AFR","AGO","228.91","228.90900","","",""
"SDGMALARIA","PUBLISHED","2000","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2001","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2002","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2003","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2004","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2005","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2006","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2007","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2008","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2009","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2010","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2011","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2012","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2013","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2014","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2015","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2016","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2017","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2018","EMR","ARE","0","0.00000","","",""
"SDGMALARIA","PUBLISHED","2000","AMR","ARG","2.39","2.38673","","",""
"SDGMALARIA","PUBLISHED","2001","AMR","ARG","1.15","1.15357","","",""
"SDGMALARIA","PUBLISHED","2002","AMR","ARG","0.66","0.66345","","",""
"SDGMALARIA","PUBLISHED","2003","AMR","ARG","0.64","0.64063","","",""
"SDGMALARIA","PUBLISHED","2004","AMR","ARG","0.6","0.59753","","",""
"SDGMALARIA","PUBLISHED","2005","AMR","ARG","1.3","1.29587","","",""
